trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1379671688.sql;1438613277.sql;-;-;-;-;-;-;-
2;1438613277.sql;1438613666.sql;tx_tevlabel_labels;Deletion:UpdateTable;front_end;TINYINT(4);true;0;-
2;1438613277.sql;1438613666.sql;tx_tevlabel_labels;Update:KeyChange;label_value;TEXT;true;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;crdate;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;cruser_id;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;deleted;TINYINT(4);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;hidden;TINYINT(4);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;label_key;TINYTEXT;false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;label_value;TEXT;true;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;pid;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;tstamp;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_domain_model_label;Insertion:NewTable;uid;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;crdate;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;cruser_id;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;deleted;TINYINT(4);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;hidden;TINYINT(4);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;label_key;TINYTEXT;false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;label_value;TEXT;true;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;pid;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;tstamp;INT(11);false;0;-
3;1438613666.sql;1438718022.sql;tx_tevlabel_labels;Deletion:DeleteTable;uid;INT(11);false;0;-
