;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
authors;9[0|0|0|0];9[0|0|1|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|7|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
frbs;5[0|0|0|0];5[0|0|3|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|4|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
frbs_have_publications;2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
frbs_notes;5[0|0|0|0];5[0|0|2|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|3|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
observations;8[0|0|0|0];8[0|0|4|0];8[0|0|0|0];8[0|0|2|0];8[0|0|0|0];8[0|0|5|0];9[1|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
observations_have_publications;2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
observations_notes;5[0|0|0|0];5[0|0|2|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|3|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
publications;5[0|0|0|0];5[0|0|1|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|2|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
radio_images;4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|3|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
radio_images_have_radio_measured_params;2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
radio_measured_params;33[0|0|0|0];34[1|0|6|0];34[0|0|0|0];34[0|0|0|0];34[0|0|0|0];33[0|1|31|0];32[5|6|0|0];32[0|0|0|0];33[2|1|0|0];37[4|0|0|0];36[0|1|0|0];39[3|0|0|0];38[0|1|0|0];38[0|0|0|0];38[0|0|0|0];38[0|0|0|0];
radio_measured_params_have_publications;2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
radio_measured_params_notes;5[0|0|0|0];5[0|0|2|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|3|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
radio_observations_params;21[0|0|0|0];23[2|0|5|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];22[0|1|18|0];24[4|2|0|0];24[0|0|0|0];24[0|0|0|0];24[0|0|0|0];24[0|0|0|0];24[0|0|0|0];25[1|0|0|0];24[0|1|0|0];24[1|1|0|0];24[1|1|0|0];
radio_observations_params_have_publications;2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|2|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
radio_observations_params_notes;5[0|0|0|0];5[0|0|2|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|3|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
