;0;1;2;3;4;5;6;7;8;
applications;0;0;0;0;0;0;0;0;0;
applications_audit;0;0;1;0;0;0;0;0;0;
artifact_assignments;0;0;1;0;0;0;0;0;0;
artifact_assignments_audit;-;-;-;-;-;-;-;-;0;
artifact_notes;0;0;1;0;0;0;0;0;0;
artifact_types;0;0;0;0;0;0;0;0;0;
artifacts;0;0;0;0;0;0;0;0;0;
deployment_time_windows;-;-;-;-;-;0;0;0;0;
deploys;0;0;0;0;0;0;0;0;0;
deploys_audit;0;0;1;0;0;0;0;0;0;
envs;0;0;0;0;0;0;0;0;0;
group_assignments;0;0;1;0;0;0;0;0;0;
group_assignments_audit;0;0;1;0;0;0;0;0;0;
group_perms;0;0;0;0;0;0;0;0;0;
groups;0;0;1;0;0;0;0;0;0;
jenkins_instances;-;-;-;-;-;-;0;0;0;
jenkins_templates;-;-;-;-;-;-;0;0;0;
lifecycles;0;0;0;0;0;0;0;0;0;
repo_types;0;0;0;0;0;0;0;0;0;
repo_urls;0;0;0;0;0;0;0;0;0;
repos;0;0;0;0;0;0;0;0;0;
user_group_assignments;-;0;1;0;0;0;0;0;0;
users;-;0;1;0;0;0;0;0;0;
