;0;1;2;3;4;5;6;7;8;
applications;4;4;6;6;6;6;6;6;6;
applications_audit;6;6;6;6;6;6;6;6;6;
artifact_assignments;7;7;7;7;7;7;7;7;7;
artifact_assignments_audit;0;0;0;0;0;0;0;0;8;
artifact_notes;5;5;5;5;5;5;5;5;5;
artifact_types;2;2;2;2;2;2;2;2;2;
artifacts;7;7;7;7;7;7;7;7;7;
deployment_time_windows;0;0;0;0;0;11;11;11;11;
deploys;6;6;8;8;8;8;8;8;8;
deploys_audit;8;8;8;8;8;8;8;9;9;
envs;2;2;2;2;2;2;2;2;2;
group_assignments;6;6;6;6;6;6;6;6;6;
group_assignments_audit;7;7;7;7;7;7;7;7;7;
group_perms;4;4;4;4;4;4;4;4;4;
groups;5;5;5;5;5;5;5;5;5;
jenkins_instances;0;0;0;0;0;0;5;5;5;
jenkins_templates;0;0;0;0;0;0;6;6;6;
lifecycles;2;2;2;2;2;2;2;2;2;
repo_types;2;2;2;2;2;2;2;2;2;
repo_urls;4;4;4;4;4;4;4;4;4;
repos;3;3;3;3;3;3;3;3;3;
user_group_assignments;0;6;6;6;6;6;6;6;6;
users;0;10;10;10;10;10;10;10;10;
