trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1424792112.sql;1425515486.sql;user_group_assignments;Insertion:NewTable;created;TIMESTAMP;false;0;-
1;1424792112.sql;1425515486.sql;user_group_assignments;Insertion:NewTable;group_id;MEDIUMINT(9);false;0;-
1;1424792112.sql;1425515486.sql;user_group_assignments;Insertion:NewTable;updated;TIMESTAMP;false;0;-
1;1424792112.sql;1425515486.sql;user_group_assignments;Insertion:NewTable;user;VARCHAR(30);false;0;-
1;1424792112.sql;1425515486.sql;user_group_assignments;Insertion:NewTable;user_group_assignment_id;MEDIUMINT(9);true;0;-
1;1424792112.sql;1425515486.sql;user_group_assignments;Insertion:NewTable;user_id;MEDIUMINT(9);false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;created;TIMESTAMP;false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;email_address;VARCHAR(250);false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;first_name;VARCHAR(250);false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;last_name;VARCHAR(250);false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;password;VARCHAR(250);false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;salt;VARCHAR(50);false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;updated;TIMESTAMP;false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;user;VARCHAR(200);false;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;user_id;MEDIUMINT(9);true;0;-
1;1424792112.sql;1425515486.sql;users;Insertion:NewTable;user_name;VARCHAR(250);false;0;-
2;1425515486.sql;1425597828.sql;applications;Insertion:UpdateTable;updated;TIMESTAMP;false;0;-
2;1425515486.sql;1425597828.sql;applications;Insertion:UpdateTable;updated_by;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;applications_audit;Insertion:UpdateTable;updated_by;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;applications_audit;Deletion:UpdateTable;user;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;artifact_assignments;Insertion:UpdateTable;updated_by;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;artifact_assignments;Deletion:UpdateTable;user;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;artifact_notes;Insertion:UpdateTable;updated_by;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;artifact_notes;Deletion:UpdateTable;user;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;deploys;Insertion:UpdateTable;updated;TIMESTAMP;false;0;-
2;1425515486.sql;1425597828.sql;deploys;Insertion:UpdateTable;updated_by;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;deploys_audit;Insertion:UpdateTable;updated_by;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;deploys_audit;Deletion:UpdateTable;user;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;group_assignments;Insertion:UpdateTable;updated_by;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;group_assignments;Deletion:UpdateTable;user;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;group_assignments_audit;Insertion:UpdateTable;updated_by;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;group_assignments_audit;Deletion:UpdateTable;user;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;groups;Insertion:UpdateTable;updated_by;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;groups;Deletion:UpdateTable;user;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;user_group_assignments;Insertion:UpdateTable;updated_by;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;user_group_assignments;Deletion:UpdateTable;user;VARCHAR(30);false;0;-
2;1425515486.sql;1425597828.sql;users;Insertion:UpdateTable;updated_by;VARCHAR(200);false;0;-
2;1425515486.sql;1425597828.sql;users;Deletion:UpdateTable;user;VARCHAR(200);false;0;-
3;1425597828.sql;1426114419.sql;-;-;-;-;-;-;-
4;1426114419.sql;1427232117.sql;repo_urls;Update:TypeChange;ct_loc;CHAR(25);false;0;-
5;1427232117.sql;1431646714.sql;deployment_time_windows;Insertion:NewTable;application_id;MEDIUMINT(9);false;0;-
5;1427232117.sql;1431646714.sql;deployment_time_windows;Insertion:NewTable;created;TIMESTAMP;false;0;-
5;1427232117.sql;1431646714.sql;deployment_time_windows;Insertion:NewTable;day_end;TINYINT(2);false;0;-
5;1427232117.sql;1431646714.sql;deployment_time_windows;Insertion:NewTable;day_start;TINYINT(2);false;0;-
5;1427232117.sql;1431646714.sql;deployment_time_windows;Insertion:NewTable;deployment_time_window_id;MEDIUMINT(9);true;0;-
5;1427232117.sql;1431646714.sql;deployment_time_windows;Insertion:NewTable;hour_end;TINYINT(2);false;0;-
5;1427232117.sql;1431646714.sql;deployment_time_windows;Insertion:NewTable;hour_start;TINYINT(2);false;0;-
