trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1412817543		1412817543.sql	2014-10-09 01:19:03	0	0	0	0	10	0	81	10	0	81	0	0	0	0	0	0	0	81	0	0	81	0	81	1	0	1
1	1412833198	1412817543.sql	1412833198.sql	2014-10-09 05:39:58	0	1	1	10	10	81	80	1	1	5	6	0	0	0	0	0	-1	5	6	0	5	6	11	0	1	1
2	1412833471	1412833198.sql	1412833471.sql	2014-10-09 05:44:31	0	1	1	10	10	80	81	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
3	1413356860	1412833471.sql	1413356860.sql	2014-10-15 07:07:40	6	1	1	10	11	81	87	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6	0	1	1
4	1413358019	1413356860.sql	1413358019.sql	2014-10-15 07:26:59	6	1	1	11	11	87	88	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
5	1413361223	1413358019.sql	1413361223.sql	2014-10-15 08:20:23	6	1	1	11	10	88	81	0	1	0	7	0	0	0	0	-1	-7	0	7	0	0	7	7	0	1	1
6	1413361620	1413361223.sql	1413361620.sql	2014-10-15 08:27:00	6	1	1	10	11	81	88	1	0	7	0	0	0	0	0	1	7	7	0	0	7	0	7	0	1	1
7	1413361719	1413361620.sql	1413361719.sql	2014-10-15 08:28:39	6	1	1	11	11	88	88	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	1	1
8	1413361916	1413361719.sql	1413361916.sql	2014-10-15 08:31:56	6	1	1	11	11	88	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1413364652	1413361916.sql	1413364652.sql	2014-10-15 09:17:32	6	1	1	11	11	88	89	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
10	1414056168	1413364652.sql	1414056168.sql	2014-10-23 09:22:48	14	1	1	11	12	89	97	1	0	8	0	0	0	0	0	1	8	8	0	0	8	0	8	0	1	1
11	1414373906	1414056168.sql	1414373906.sql	2014-10-27 01:38:26	18	1	1	12	13	97	103	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6	0	1	1
12	1415002219	1414373906.sql	1415002219.sql	2014-11-03 08:10:19	25	1	1	13	14	103	108	1	0	5	0	0	0	0	0	1	5	5	0	0	5	0	5	0	1	1
13	1415159718	1415002219.sql	1415159718.sql	2014-11-05 03:55:18	27	1	1	14	14	108	111	0	0	0	0	3	0	0	0	0	3	3	0	0	3	0	3	0	1	1
14	1415777768	1415159718.sql	1415777768.sql	2014-11-12 07:36:08	34	1	2	14	16	111	130	2	0	19	0	0	0	0	0	2	19	19	0	0	19	0	19	1	0	1
15	1415842835	1415777768.sql	1415842835.sql	2014-11-13 01:40:35	35	1	2	16	16	130	130	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	0	1	1
16	1416216139	1415842835.sql	1416216139.sql	2014-11-17 09:22:19	39	1	2	16	17	130	141	1	0	11	0	0	0	0	0	1	11	11	0	0	11	0	11	0	1	1
17	1416280571	1416216139.sql	1416280571.sql	2014-11-18 03:16:11	40	1	2	17	16	141	131	0	1	0	11	1	0	0	0	-1	-10	1	11	0	1	11	12	0	1	1
18	1416303955	1416280571.sql	1416303955.sql	2014-11-18 09:45:55	40	1	2	16	16	131	133	0	0	0	0	3	1	0	0	0	2	3	1	0	3	1	4	0	1	1
19	1416971884	1416303955.sql	1416971884.sql	2014-11-26 03:18:04	48	1	2	16	17	133	141	1	0	8	0	0	0	0	0	1	8	8	0	0	8	0	8	0	1	1
20	1417051148	1416971884.sql	1417051148.sql	2014-11-27 01:19:08	49	1	2	17	22	141	176	5	0	34	0	2	1	1	0	5	35	36	1	1	36	2	38	1	0	1
21	1418028300	1417051148.sql	1418028300.sql	2014-12-08 08:45:00	60	1	2	22	22	176	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1418116096	1418028300.sql	1418116096.sql	2014-12-09 09:08:16	61	1	3	22	22	176	176	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	0	1	1
23	1418282867	1418116096.sql	1418282867.sql	2014-12-11 07:27:47	63	1	3	22	23	176	184	2	1	16	8	0	0	0	0	1	8	16	8	0	16	8	24	1	0	1
