Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
api_call	10	14	-	23	2014-11-12 07:36:08	2014-12-11 07:27:47	1	1	28	10	11	10.4	1.1	1	1	0.1	0.1	1	20	1	21
apns_token	13	11	-	23	2014-10-27 01:38:26	2014-12-11 07:27:47	1	1	45	6	6	6	1	0	0	0	0		20	0	20
application	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	9	13	10.25	1.44	7	4	0.29	0.17	1.75	20	2	22
client	21	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	6	8	7.62	1.33	4	3	0.19	0.14	1.33	20	1	21
client_version	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	9	9	9	1	0	0	0	0		20	0	20
customer	12	12	-	23	2014-11-03 08:10:19	2014-12-11 07:27:47	1	1	37	5	5	5	1	0	0	0	0		20	0	20
file_link	1	23	-	23	2014-12-11 07:27:47	2014-12-11 07:27:47	1	1	0	8	8	8	1	0	0	0	0		20	0	20
group_msg	4	20	-	23	2014-11-27 01:19:08	2014-12-11 07:27:47	1	1	14	7	7	7	1	0	0	0	0		20	0	20
operation	1	23	-	23	2014-12-11 07:27:47	2014-12-11 07:27:47	1	1	0	8	8	8	1	0	0	0	0		20	0	20
opertion	4	19	22	22	2014-11-26 03:18:04	2014-12-09 09:08:16	1	1	13	8	8	8	1	2	1	0.5	0.25	2	10	1	11
org	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	8	8	8	1	0	0	0	0		20	0	20
org_user	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	4	4	4	1	0	0	0	0		20	0	20
private_msg	4	20	-	23	2014-11-27 01:19:08	2014-12-11 07:27:47	1	1	14	7	7	7	1	0	0	0	0		20	0	20
public_msg	4	20	-	23	2014-11-27 01:19:08	2014-12-11 07:27:47	1	1	14	6	6	6	1	0	0	0	0		20	0	20
public_msg_log	4	20	-	23	2014-11-27 01:19:08	2014-12-11 07:27:47	1	1	14	3	3	3	1	0	0	0	0		20	0	20
push_cnt	5	16	-	23	2014-11-17 09:22:19	2014-12-11 07:27:47	1	1	23	11	11	11	1	0	0	0	0		20	0	20
qun	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	8	9	8.46	1.12	1	1	0.04	0.04	1	20	1	21
qun_user	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	8	8	8	1	0	0	0	0		20	0	20
quota	10	14	-	23	2014-11-12 07:36:08	2014-12-11 07:27:47	1	1	28	9	9	9	1	2	1	0.2	0.1	2	20	1	21
resource	14	10	-	23	2014-10-23 09:22:48	2014-12-11 07:27:47	1	1	48	8	8	8	1	2	1	0.14	0.07	2	20	1	21
session	23	1	-	23	2014-10-09 05:39:58	2014-12-11 07:27:47	1	1	63	5	6	5.96	1.2	1	1	0.04	0.04	1	20	1	21
tenant	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	6	7	6.46	1.17	1	1	0.04	0.04	1	20	1	21
user	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	16	16	16	1	0	0	0	0		20	0	20
user_user	24	0	-	23	2014-10-09 01:19:03	2014-12-11 07:27:47	0	1	63	7	7	7	1	0	0	0	0		20	0	20
