;0;1;2;3;4;5;6;7;8;
_object;0;0;2;2;0;0;0;0;0;
account;0;0;12;12;0;0;0;0;0;
account_developer;0;0;6;6;0;0;0;0;0;
app;0;0;12;12;0;0;0;0;0;
app_category;0;0;5;5;0;0;0;0;0;
client;0;0;19;19;0;0;0;0;0;
client_apns;0;0;9;9;0;0;0;0;0;
client_certificate;0;0;5;5;0;0;0;0;0;
developer_company;0;0;17;17;0;0;0;0;0;
developer_person;0;0;15;15;0;0;0;0;0;
group;0;0;4;4;4;5;7;7;7;
group_member;2;2;2;2;2;2;4;5;6;
im_group;3;4;0;0;0;0;0;0;0;
package;0;0;13;13;0;0;0;0;0;
photo;0;0;9;9;0;0;0;0;0;
verify_email;0;0;6;6;0;0;0;0;0;
