Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
_object	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	2	2	2	1	0	0	0	0		10	0	10
account	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	12	12	12	1	0	0	0	0		10	0	10
account_developer	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	6	6	6	1	0	0	0	0		10	0	10
app	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	12	12	12	1	0	0	0	0		10	0	10
app_category	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	5	5	5	1	0	0	0	0		10	0	10
client	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	19	19	19	1	0	0	0	0		10	0	10
client_apns	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	9	9	9	1	0	0	0	0		10	0	10
client_certificate	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	5	5	5	1	0	0	0	0		10	0	10
developer_company	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	17	17	17	1	0	0	0	0		10	0	10
developer_person	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	15	15	15	1	0	0	0	0		10	0	10
group	7	2	-	8	2015-03-13 08:59:46	2018-10-24 08:37:39	1	5	1320	4	7	5.43	1.75	7	2	1	0.29	3.5	20	2	22
group_member	9	0	-	8	2014-06-20 18:15:13	2018-10-24 08:37:39	0	5	1586	2	6	3	3	7	3	0.78	0.33	2.33	20	2	22
im_group	2	0	1	1	2014-06-20 18:15:13	2015-01-26 07:19:20	0	1	219	3	4	3.5	1.33	1	1	0.5	0.5	1	10	1	11
package	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	13	13	13	1	0	0	0	0		10	0	10
photo	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	9	9	9	1	0	0	0	0		10	0	10
verify_email	2	2	3	3	2015-03-13 08:59:46	2015-03-15 03:58:11	1	1	1	6	6	6	1	0	0	0	0		10	0	10
