trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1498835194;1498764370.sql;1498835194.sql;9;9;57;60;0;0;3;0;0;0;0;0
2;1499087360;1498835194.sql;1499087360.sql;9;8;60;59;8;9;0;0;0;0;59;60
3;1499094259;1499087360.sql;1499094259.sql;8;8;59;58;2;2;3;4;0;0;23;23
4;1499261826;1499094259.sql;1499261826.sql;8;8;58;60;0;0;3;1;1;0;0;0
5;1499274289;1499261826.sql;1499274289.sql;8;8;60;61;0;0;1;0;0;0;0;0
6;1499283821;1499274289.sql;1499283821.sql;8;8;61;61;0;0;0;0;0;0;0;0
7;1499369889;1499283821.sql;1499369889.sql;8;8;61;62;0;0;1;0;0;0;0;0
8;1499462093;1499369889.sql;1499462093.sql;8;8;62;62;0;0;0;0;0;1;0;0
9;1499795093;1499462093.sql;1499795093.sql;8;8;62;63;0;0;1;0;0;0;0;0
10;1500404290;1499795093.sql;1500404290.sql;8;8;63;63;0;0;0;0;1;0;0;0
11;1500901215;1500404290.sql;1500901215.sql;8;8;63;65;0;0;2;0;1;0;0;0
12;1500907568;1500901215.sql;1500907568.sql;8;8;65;65;0;0;0;0;20;0;0;0
13;1500908362;1500907568.sql;1500908362.sql;8;8;65;65;0;0;0;0;2;0;0;0
14;1501098155;1500908362.sql;1501098155.sql;8;8;65;66;0;0;1;0;0;0;0;0
15;1501160298;1501098155.sql;1501160298.sql;8;8;66;66;0;0;0;0;1;0;0;0
16;1501277978;1501160298.sql;1501277978.sql;8;11;66;82;3;0;0;0;0;0;16;0
17;1501534358;1501277978.sql;1501534358.sql;11;11;82;79;0;0;0;3;3;0;0;0
18;1501537083;1501534358.sql;1501537083.sql;11;11;79;84;0;0;5;0;0;0;0;0
19;1501793488;1501537083.sql;1501793488.sql;11;11;84;85;0;0;1;0;0;0;0;0
20;1503527174;1501793488.sql;1503527174.sql;11;13;85;92;2;0;0;0;0;0;7;0
21;1503675013;1503527174.sql;1503675013.sql;13;13;92;93;2;2;0;0;0;0;8;7
22;1503692962;1503675013.sql;1503692962.sql;13;13;93;94;2;2;0;0;0;0;9;8
23;1503941734;1503692962.sql;1503941734.sql;13;11;94;85;0;2;0;0;0;0;0;9
24;1503947853;1503941734.sql;1503947853.sql;11;13;85;100;2;0;0;0;0;0;15;0
25;1504044111;1503947853.sql;1504044111.sql;13;14;100;98;3;2;0;0;0;0;13;15
26;1504055365;1504044111.sql;1504055365.sql;14;13;98;94;0;1;0;0;0;0;0;4
27;1504125631;1504055365.sql;1504125631.sql;13;14;94;103;3;2;0;0;0;0;18;9
28;1504125831;1504125631.sql;1504125831.sql;14;14;103;103;0;0;0;0;0;0;0;0
29;1504125982;1504125831.sql;1504125982.sql;14;14;103;103;0;0;0;0;0;0;0;0
30;1504126410;1504125982.sql;1504126410.sql;14;14;103;102;0;0;0;1;0;0;0;0
31;1504130251;1504126410.sql;1504130251.sql;14;14;102;96;3;3;0;0;0;0;11;17
32;1504204453;1504130251.sql;1504204453.sql;14;17;96;113;3;0;0;0;0;0;17;0
33;1506007575;1504204453.sql;1506007575.sql;17;17;113;113;0;0;0;0;0;0;0;0
34;1506009813;1506007575.sql;1506009813.sql;17;17;113;115;0;0;2;0;2;0;0;0
35;1506268164;1506009813.sql;1506268164.sql;17;17;115;115;0;0;0;0;0;0;0;0
36;1506274773;1506268164.sql;1506274773.sql;17;17;115;116;0;0;1;0;1;0;0;0
37;1506365456;1506274773.sql;1506365456.sql;17;17;116;116;0;0;0;0;1;0;0;0
38;1506469445;1506365456.sql;1506469445.sql;17;17;116;117;0;0;1;0;0;0;0;0
39;1506871272;1506469445.sql;1506871272.sql;17;18;117;138;1;0;0;0;58;2;21;0
40;1507107532;1506871272.sql;1507107532.sql;18;18;138;138;0;0;0;0;0;0;0;0
41;1507321330;1507107532.sql;1507321330.sql;18;19;138;139;1;0;0;0;23;25;1;0
42;1508275975;1507321330.sql;1508275975.sql;19;19;139;139;0;0;0;0;0;0;0;0
43;1508284910;1508275975.sql;1508284910.sql;19;19;139;140;0;0;1;0;0;0;0;0
44;1508315574;1508284910.sql;1508315574.sql;19;19;140;140;0;0;1;1;0;0;0;0
45;1508315744;1508315574.sql;1508315744.sql;19;19;140;140;0;0;0;0;0;0;0;0
46;1508957248;1508315744.sql;1508957248.sql;19;19;140;139;0;0;0;1;1;0;0;0
47;1510467974;1508957248.sql;1510467974.sql;19;20;139;145;1;0;1;0;23;26;5;0
48;1511800868;1510467974.sql;1511800868.sql;20;22;145;162;2;0;4;0;0;0;13;0
49;1512766814;1511800868.sql;1512766814.sql;22;22;162;162;0;0;0;0;0;0;0;0
