trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1451250901		1451250901.sql	2015-12-27 21:15:01	0	0	0	0	5	0	25	5	0	25	0	0	0	0	0	0	0	25	0	0	25	0	25	1	0	1
1	1451250995	1451250901.sql	1451250995.sql	2015-12-27 21:16:35	0	1	1	5	5	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1451423894	1451250995.sql	1451423894.sql	2015-12-29 21:18:14	2	1	1	5	5	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1451473405	1451423894.sql	1451473405.sql	2015-12-30 11:03:25	2	1	1	5	5	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1451481666	1451473405.sql	1451481666.sql	2015-12-30 13:21:06	2	1	1	5	5	25	26	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
5	1451837460	1451481666.sql	1451837460.sql	2016-01-03 16:11:00	6	1	1	5	5	26	27	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
6	1452721110	1451837460.sql	1452721110.sql	2016-01-13 21:38:30	17	1	1	5	5	27	28	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
7	1452721902	1452721110.sql	1452721902.sql	2016-01-13 21:51:42	17	1	1	5	5	28	29	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
8	1457175806	1452721902.sql	1457175806.sql	2016-03-05 11:03:26	68	1	3	5	5	29	31	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	0	1	1
9	1457182556	1457175806.sql	1457182556.sql	2016-03-05 12:55:56	68	1	3	5	5	31	33	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	0	1	1
10	1460919928	1457182556.sql	1460919928.sql	2016-04-17 19:05:28	111	1	4	5	6	33	38	1	0	5	0	0	0	0	0	1	5	5	0	0	5	0	5	0	1	1
11	1461567210	1460919928.sql	1461567210.sql	2016-04-25 06:53:30	119	1	4	6	6	38	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1462908026	1461567210.sql	1462908026.sql	2016-05-10 19:20:26	134	1	5	6	6	38	39	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
13	1462912127	1462908026.sql	1462912127.sql	2016-05-10 20:28:47	134	1	5	6	6	39	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
