trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1451250901.sql;1451250995.sql;-;-;-;-;-;-;-
2;1451250995.sql;1451423894.sql;-;-;-;-;-;-;-
3;1451423894.sql;1451473405.sql;-;-;-;-;-;-;-
4;1451473405.sql;1451481666.sql;boards;Insertion:UpdateTable;image_board_cluster_id;INTREFERENCESIMAGE_BOARD_CLUSTERS;false;0;-
5;1451481666.sql;1451837460.sql;image_board_clusters;Insertion:UpdateTable;api_key;TEXT;false;0;-
6;1451837460.sql;1452721110.sql;boards;Insertion:UpdateTable;thread_setting_max_active_thread_count;INT;false;0;-
7;1452721110.sql;1452721902.sql;threads;Insertion:UpdateTable;is_active;BOOLEAN;false;0;-
8;1452721902.sql;1457175806.sql;thread_posts;Insertion:UpdateTable;inserted_at;TIMESTAMPWITHTIMEZONE;false;0;-
8;1452721902.sql;1457175806.sql;thread_posts;Insertion:UpdateTable;source_ip;TEXT;false;0;-
9;1457175806.sql;1457182556.sql;threads;Insertion:UpdateTable;max_post_length;INT;false;0;-
9;1457175806.sql;1457182556.sql;threads;Insertion:UpdateTable;min_post_length;INT;false;0;-
10;1457182556.sql;1460919928.sql;apis;Insertion:NewTable;api_key;TEXT;false;0;-
10;1457182556.sql;1460919928.sql;apis;Insertion:NewTable;https_cert_file;TEXT;false;0;-
10;1457182556.sql;1460919928.sql;apis;Insertion:NewTable;id;SERIAL;true;0;-
10;1457182556.sql;1460919928.sql;apis;Insertion:NewTable;is_https;BOOLEAN;false;0;-
10;1457182556.sql;1460919928.sql;apis;Insertion:NewTable;key_get_param_name;TEXT;false;0;-
11;1460919928.sql;1461567210.sql;-;-;-;-;-;-;-
12;1461567210.sql;1462908026.sql;image_board_clusters;Insertion:UpdateTable;settings_json;TEXT;false;0;-
13;1462908026.sql;1462912127.sql;-;-;-;-;-;-;-
