trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1462119126;1445010037.sql;1462119126.sql;17;27;71;113;10;0;6;0;4;0;36;0
2;1475489601;1462119126.sql;1475489601.sql;27;27;113;113;0;0;0;0;0;0;0;0
3;1489428390;1475489601.sql;1489428390.sql;27;26;113;109;1;2;0;0;1;0;5;9
4;1499961829;1489428390.sql;1499961829.sql;26;28;109;117;2;0;0;0;0;0;8;0
5;1501167955;1499961829.sql;1501167955.sql;28;28;117;117;0;0;0;0;0;0;0;0
6;1503564993;1501167955.sql;1503564993.sql;28;24;117;102;5;9;15;8;2;0;19;41
7;1503918668;1503564993.sql;1503918668.sql;24;24;102;102;0;0;0;0;1;0;0;0
8;1503929045;1503918668.sql;1503929045.sql;24;24;102;102;0;0;3;3;0;0;0;0
9;1504019620;1503929045.sql;1504019620.sql;24;24;102;102;0;0;0;0;0;0;0;0
10;1504114681;1504019620.sql;1504114681.sql;24;24;102;103;0;0;1;0;0;0;0;0
11;1504531589;1504114681.sql;1504531589.sql;24;24;103;105;0;0;2;0;0;0;0;0
12;1507199014;1504531589.sql;1507199014.sql;24;24;105;106;0;0;1;0;0;0;0;0
13;1512491000;1507199014.sql;1512491000.sql;24;24;106;106;0;0;0;0;0;0;0;0
14;1513092387;1512491000.sql;1513092387.sql;24;24;106;106;0;0;1;1;1;0;0;0
15;1515672760;1513092387.sql;1515672760.sql;24;24;106;106;0;0;0;0;2;0;0;0
16;1522860796;1515672760.sql;1522860796.sql;24;23;106;110;2;3;8;1;0;0;4;7
17;1523551009;1522860796.sql;1523551009.sql;23;23;110;111;0;0;1;0;2;0;0;0
18;1524153737;1523551009.sql;1524153737.sql;23;25;111;120;2;0;0;0;0;0;9;0
19;1525109010;1524153737.sql;1525109010.sql;25;25;120;121;0;0;1;0;0;0;0;0
20;1525366541;1525109010.sql;1525366541.sql;25;25;121;122;0;0;2;1;0;0;0;0
21;1525682556;1525366541.sql;1525682556.sql;25;25;122;122;0;0;0;0;0;0;0;0
22;1527755184;1525682556.sql;1527755184.sql;25;27;122;132;2;0;1;1;2;0;10;0
23;1532619472;1527755184.sql;1532619472.sql;27;27;132;137;0;0;5;0;1;0;0;0
24;1540205804;1532619472.sql;1540205804.sql;27;27;137;138;0;0;1;0;1;0;0;0
25;1553679827;1540205804.sql;1553679827.sql;27;28;138;143;2;1;5;4;0;0;6;2
