mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2015-10	1	17	71	17	0	71	0	0	0	0	0	0	0	71	0	0	71	0	71
1	2015-11	0	17	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2015-12	0	17	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2016-01	0	17	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2016-02	0	17	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2016-03	0	17	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2016-04	0	17	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2016-05	1	27	113	10	0	36	0	6	0	4	0	10	42	42	0	4	42	4	46
8	2016-06	0	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2016-07	0	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2016-08	0	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2016-09	0	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2016-10	1	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2016-11	0	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2016-12	0	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2017-01	0	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2017-02	0	27	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2017-03	1	26	109	1	2	5	9	0	0	1	0	-1	-4	5	9	1	5	10	15
18	2017-04	0	26	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2017-05	0	26	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2017-06	0	26	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2017-07	2	28	117	2	0	8	0	0	0	0	0	2	8	8	0	0	8	0	8
22	2017-08	5	24	103	5	9	19	41	19	11	3	0	-4	-14	38	52	3	38	55	93
23	2017-09	1	24	105	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2
24	2017-10	1	24	106	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
25	2017-11	0	24	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2017-12	2	24	106	0	0	0	0	1	1	1	0	0	0	1	1	1	1	2	3
27	2018-01	1	24	106	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2
28	2018-02	0	24	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2018-03	0	24	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2018-04	4	25	121	4	3	13	7	10	1	2	0	1	15	23	8	2	23	10	33
31	2018-05	3	27	132	2	0	10	0	3	2	2	0	2	11	13	2	2	13	4	17
32	2018-06	0	27	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2018-07	1	27	137	0	0	0	0	5	0	1	0	0	5	5	0	1	5	1	6
34	2018-08	0	27	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	2018-09	0	27	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	2018-10	1	27	138	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	2
37	2018-11	0	27	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	2018-12	0	27	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	2019-01	0	27	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	2019-02	0	27	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	2019-03	1	28	143	2	1	6	2	5	4	0	0	1	5	11	6	0	11	6	17
