;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
accounts;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
applications;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
characters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
corporations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
csrffailures;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
grouproles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
groups;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
loginattempts;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;
roles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
userapikeys;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
usergroups;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
userroles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
users;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
