;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
accounts;0;0;5;5;5;6;6;6;6;7;7;6;7;7;7;6;
applications;0;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;
characters;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;
corporations;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;
csrffailures;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;
grouproles;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
groups;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
loginattempts;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;6;
roles;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;
userapikeys;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
usergroups;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
userroles;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
users;4;4;5;5;6;6;6;6;6;6;6;6;6;6;6;6;
