trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1421249030;1421175308.sql;1421249030.sql;9;9;42;42;0;0;0;0;0;0;0;0
2;1422031862;1421249030.sql;1422031862.sql;9;9;42;43;1;1;2;1;0;0;5;5
3;1422040157;1422031862.sql;1422040157.sql;9;9;43;43;0;0;0;0;0;0;0;0
4;1422209291;1422040157.sql;1422209291.sql;9;9;43;44;0;0;1;0;0;0;0;0
5;1422296520;1422209291.sql;1422296520.sql;9;9;44;45;0;0;1;0;0;0;0;0
6;1422580559;1422296520.sql;1422580559.sql;9;10;45;51;1;0;0;0;0;0;6;0
7;1422580907;1422580559.sql;1422580907.sql;10;10;51;51;0;0;0;0;0;0;0;0
8;1422633217;1422580907.sql;1422633217.sql;10;11;51;57;1;0;0;0;0;0;6;0
9;1422659692;1422633217.sql;1422659692.sql;11;11;57;59;0;0;2;0;1;0;0;0
10;1424474706;1422659692.sql;1424474706.sql;11;11;59;59;0;0;1;1;0;0;0;0
11;1426357929;1424474706.sql;1426357929.sql;11;11;59;58;0;0;0;1;0;0;0;0
12;1427216648;1426357929.sql;1427216648.sql;11;11;58;60;0;0;2;0;0;0;0;0
13;1427502050;1427216648.sql;1427502050.sql;11;12;60;64;1;0;0;0;0;0;4;0
14;1428281457;1427502050.sql;1428281457.sql;12;12;64;65;0;0;1;0;0;0;0;0
15;1430427953;1428281457.sql;1430427953.sql;12;12;65;64;0;0;1;2;0;0;0;0
