;0;1;2;3;4;5;
CATEGORY;-;-;0;0;0;0;
EUROSTD;-;-;0;0;0;0;
FUEL;-;-;0;0;0;0;
LOAD;-;-;0;0;0;0;
MAPCATEGORYFUEL;-;-;0;0;0;0;
MAPEUROSTDPOLLUTANT;-;-;0;0;0;0;
MAPFUELSEGMENT;-;-;0;0;0;0;
MAPLOADPARAMETERS;-;-;0;0;0;0;
MAPMODESLOPE;-;-;0;0;0;0;
MAPPOLLUTANTMODE;-;-;0;0;0;0;
MAPSEGMENTEUROSTD;-;-;0;0;0;0;
MAPSLOPELOAD;-;-;0;0;0;0;
MODE;-;-;0;0;0;0;
PARAMETERS;-;-;0;0;0;0;
POLLUTANT;-;-;0;0;0;0;
PRIMARYKEY;-;-;0;0;0;0;
ROADSLOPE;-;-;0;0;0;0;
SEGMENT;-;-;0;0;0;0;
ZCATEGORY;0;0;-;-;-;-;
ZEUROSTD;0;0;-;-;-;-;
ZFUEL;0;0;-;-;-;-;
ZLOAD;0;0;-;-;-;-;
ZMODE;0;0;-;-;-;-;
ZPARAMETERS;0;0;-;-;-;-;
ZPOLLUTANT;0;0;-;-;-;-;
ZROADSLOPE;0;0;-;-;-;-;
ZSEGMENT;0;0;-;-;-;-;
Z_1TYPEFUEL;0;0;-;-;-;-;
Z_2EUROSTDSEGMENT;0;0;-;-;-;-;
Z_2TYPEPOLLUTANT;0;0;-;-;-;-;
Z_3TYPESEGMENT;0;0;-;-;-;-;
Z_4LOADSLOPE;0;0;-;-;-;-;
Z_4PARAMETERS;0;0;-;-;-;-;
Z_5MODEPOLLUTANT;0;0;-;-;-;-;
Z_5TYPESLOPE;0;-;-;-;-;-;
Z_METADATA;0;-;-;-;-;-;
Z_MODELCACHE;0;4;-;-;-;-;
Z_PRIMARYKEY;0;0;-;-;-;-;
