table;dur;birth;death;chngs;s@s;s@e;sAvg
CATEGORY;4;2;-;0;3;3;3.0
EUROSTD;4;2;-;0;3;3;3.0
FUEL;4;2;-;0;3;3;3.0
LOAD;4;2;-;0;3;3;3.0
MAPCATEGORYFUEL;4;2;-;0;2;2;2.0
MAPEUROSTDPOLLUTANT;4;2;-;0;2;2;2.0
MAPFUELSEGMENT;4;2;-;0;2;2;2.0
MAPLOADPARAMETERS;4;2;-;0;2;2;2.0
MAPMODESLOPE;4;2;-;0;2;2;2.0
MAPPOLLUTANTMODE;4;2;-;0;2;2;2.0
MAPSEGMENTEUROSTD;4;2;-;0;2;2;2.0
MAPSLOPELOAD;4;2;-;0;2;2;2.0
MODE;4;2;-;0;3;3;3.0
PARAMETERS;4;2;-;0;14;14;14.0
POLLUTANT;4;2;-;0;3;3;3.0
PRIMARYKEY;4;2;-;0;4;4;4.0
ROADSLOPE;4;2;-;0;3;3;3.0
SEGMENT;4;2;-;0;3;3;3.0
ZCATEGORY;2;0;1;0;4;4;4.0
ZEUROSTD;2;0;1;0;4;4;4.0
ZFUEL;2;0;1;0;4;4;4.0
ZLOAD;2;0;1;0;4;4;4.0
ZMODE;2;0;1;0;4;4;4.0
ZPARAMETERS;2;0;1;0;15;15;15.0
ZPOLLUTANT;2;0;1;0;4;4;4.0
ZROADSLOPE;2;0;1;0;4;4;4.0
ZSEGMENT;2;0;1;0;4;4;4.0
Z_1TYPEFUEL;2;0;1;0;2;2;2.0
Z_2EUROSTDSEGMENT;2;0;1;0;2;2;2.0
Z_2TYPEPOLLUTANT;2;0;1;0;2;2;2.0
Z_3TYPESEGMENT;2;0;1;0;2;2;2.0
Z_4LOADSLOPE;2;0;1;0;2;2;2.0
Z_4PARAMETERS;2;0;1;0;2;2;2.0
Z_5MODEPOLLUTANT;2;0;1;0;2;2;2.0
Z_5TYPESLOPE;1;0;0;0;2;2;2.0
Z_METADATA;1;0;0;0;3;3;3.0
Z_MODELCACHE;2;0;1;5;1;4;2.5
Z_PRIMARYKEY;2;0;1;0;4;4;4.0
