mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2012-06	1	5	24	5	0	24	0	0	0	0	0	0	0	24	0	0	24	0	24
1	2012-07	0	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2012-08	0	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2012-09	0	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2012-10	0	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2012-11	0	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2012-12	0	5	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2013-01	1	5	25	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
8	2013-02	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2013-03	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2013-04	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2013-05	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2013-06	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2013-07	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2013-08	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2013-09	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2013-10	1	5	27	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2
