;0;1;2;3;4;5;6;7;8;9;10;11;12;13;
action;0;0;0;0;0;0;0;1;3;0;0;0;0;0;
action_result;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
action_user;0;0;0;0;0;0;0;0;-;-;-;-;-;-;
action_user_group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
chart;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
chart_element;0;0;0;0;0;0;0;0;2;0;1;0;0;0;
group;0;0;0;0;0;0;0;0;-;-;-;-;-;-;
group_plugin;-;-;-;-;-;-;-;0;-;-;-;-;-;-;
host;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
host_group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
host_group_host;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
host_group_plugin;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
host_plugin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
metric;0;0;0;0;0;0;1;0;2;0;0;0;0;0;
metric_index;0;0;0;0;0;0;0;0;-;-;-;-;-;-;
operations;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
panel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
panel_chart;0;0;0;0;0;0;0;0;-;-;-;-;-;-;
plugin;0;0;0;0;0;0;0;0;2;0;1;0;0;0;
product;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
product_host;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
product_user;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
scripts;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
strategy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
strategy_event;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
strategy_event_failed;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
strategy_event_process;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
strategy_event_record;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
strategy_group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
strategy_host;0;0;0;0;0;0;0;0;-;-;-;-;-;-;
strategy_host_exclude;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
strategy_template;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
tag_index;0;0;0;0;0;0;0;0;-;-;-;-;-;-;
trigger;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
trigger_event;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
trigger_event_record;-;-;-;-;-;-;-;-;0;1;0;0;0;0;
trigger_template;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
user;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
user_group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
user_group_user;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
user_user_group;0;0;0;0;0;0;0;0;-;-;-;-;-;-;
