;0;1;2;3;4;5;6;7;8;9;10;11;12;13;
action;10;10;10;9;9;9;9;9;12;12;12;12;12;12;
action_result;13;13;13;13;13;13;13;14;15;15;15;15;15;15;
action_user;3;3;3;3;3;3;3;3;0;0;0;0;0;0;
action_user_group;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
chart;9;9;9;9;9;9;9;9;8;8;8;8;8;8;
chart_element;5;5;5;5;5;5;5;5;3;3;3;3;3;3;
group;2;2;2;2;2;2;2;2;0;0;0;0;0;0;
group_plugin;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
host;9;9;9;9;9;9;9;9;11;11;11;11;11;11;
host_group;3;3;3;3;3;3;3;3;7;7;7;7;7;7;
host_group_host;0;0;0;0;0;0;0;0;3;3;3;3;3;3;
host_group_plugin;0;0;0;0;0;0;0;0;3;3;6;6;6;6;
host_plugin;3;3;3;3;3;3;3;3;3;3;6;6;6;6;
metric;8;8;8;8;8;8;8;8;9;9;9;9;9;9;
metric_index;2;2;2;2;2;2;2;2;0;0;0;0;0;0;
operations;6;6;6;6;6;6;6;6;7;7;7;7;7;7;
panel;7;7;7;7;7;7;7;7;4;4;4;4;4;4;
panel_chart;3;3;3;3;3;3;3;3;0;0;0;0;0;0;
plugin;7;7;7;7;7;7;7;7;10;10;10;10;10;10;
product;0;0;0;0;0;0;0;0;6;6;6;6;6;6;
product_host;0;0;0;0;0;0;0;0;4;4;4;4;4;4;
product_user;0;0;0;0;0;0;0;0;2;2;2;2;2;2;
scripts;0;0;0;0;0;0;0;0;3;3;3;3;3;3;
strategy;12;12;12;12;10;10;10;10;10;10;10;10;10;10;
strategy_event;20;20;20;20;19;19;19;19;16;16;16;16;16;16;
strategy_event_failed;0;0;0;0;0;0;0;0;6;6;6;6;6;6;
strategy_event_process;0;0;0;0;0;0;0;0;5;5;5;5;5;5;
strategy_event_record;0;0;0;0;0;0;0;0;15;15;15;15;15;15;
strategy_group;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
strategy_host;3;3;3;3;3;3;3;3;0;0;0;0;0;0;
strategy_host_exclude;0;0;0;0;0;0;0;0;3;3;3;3;3;3;
strategy_template;0;0;0;0;0;0;0;0;6;6;6;6;6;6;
tag_index;3;3;3;3;3;3;3;3;0;0;0;0;0;0;
trigger;11;11;11;11;11;11;11;11;10;10;10;10;10;10;
trigger_event;11;11;11;11;11;11;11;11;11;11;11;11;11;11;
trigger_event_record;0;0;0;0;0;0;0;0;12;12;12;12;12;12;
trigger_template;0;0;0;0;0;0;0;0;10;10;10;10;10;10;
user;10;10;10;10;10;10;10;10;11;11;11;11;11;11;
user_group;2;2;2;2;2;2;2;2;5;5;5;5;5;5;
user_group_user;0;0;0;0;0;0;0;0;3;3;3;3;3;3;
user_user_group;3;3;3;3;3;3;3;3;0;0;0;0;0;0;
