trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1478661345;1478601108.sql;1478661345.sql;26;26;171;171;0;0;0;0;0;0;0;0
2;1478938293;1478661345.sql;1478938293.sql;26;26;171;171;0;0;0;0;0;0;0;0
3;1479281478;1478938293.sql;1479281478.sql;26;26;171;170;0;0;0;1;0;0;0;0
4;1481182088;1479281478.sql;1481182088.sql;26;26;170;167;0;0;1;4;0;0;0;0
5;1481184719;1481182088.sql;1481184719.sql;26;26;167;167;0;0;0;0;0;0;0;0
6;1486367063;1481184719.sql;1486367063.sql;26;26;167;167;0;0;0;0;1;0;0;0
7;1495013854;1486367063.sql;1495013854.sql;26;27;167;171;1;0;1;0;1;0;3;0
8;1521855092;1495013854.sql;1521855092.sql;27;33;171;239;14;8;43;34;12;0;81;22
9;1523153905;1521855092.sql;1523153905.sql;33;33;239;239;0;0;0;0;2;0;0;0
10;1526372755;1523153905.sql;1526372755.sql;33;33;239;245;0;0;6;0;2;0;0;0
11;1540797110;1526372755.sql;1540797110.sql;33;33;245;245;0;0;0;0;0;0;0;0
12;1546484724;1540797110.sql;1546484724.sql;33;33;245;245;0;0;0;0;0;0;0;0
13;1547114683;1546484724.sql;1547114683.sql;33;33;245;245;0;0;0;0;0;0;0;0
