trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1398697712.sql;1398847375.sql;message;Deletion:DeleteTable;ctime;TIMESTAMP;false;0;-
1;1398697712.sql;1398847375.sql;message;Deletion:DeleteTable;expire;BIGINT;false;0;-
1;1398697712.sql;1398847375.sql;message;Deletion:DeleteTable;gid;INTUNSIGNED;false;0;-
1;1398697712.sql;1398847375.sql;message;Deletion:DeleteTable;id;BIGINTUNSIGNED;true;0;-
1;1398697712.sql;1398847375.sql;message;Deletion:DeleteTable;mid;BIGINTUNSIGNED;false;0;-
1;1398697712.sql;1398847375.sql;message;Deletion:DeleteTable;msg;BLOB;false;0;-
1;1398697712.sql;1398847375.sql;message;Deletion:DeleteTable;mtime;TIMESTAMP;false;0;-
1;1398697712.sql;1398847375.sql;message;Deletion:DeleteTable;sub;VARCHAR(64);false;0;-
1;1398697712.sql;1398847375.sql;private_msg;Insertion:NewTable;ctime;TIMESTAMP;false;0;-
1;1398697712.sql;1398847375.sql;private_msg;Insertion:NewTable;id;BIGINTUNSIGNED;true;0;-
1;1398697712.sql;1398847375.sql;private_msg;Insertion:NewTable;mid;BIGINTUNSIGNED;false;0;-
1;1398697712.sql;1398847375.sql;private_msg;Insertion:NewTable;msg;BLOB;false;0;-
1;1398697712.sql;1398847375.sql;private_msg;Insertion:NewTable;mtime;TIMESTAMP;false;0;-
1;1398697712.sql;1398847375.sql;private_msg;Insertion:NewTable;skey;VARCHAR(64);false;0;-
1;1398697712.sql;1398847375.sql;private_msg;Insertion:NewTable;ttl;BIGINT;false;0;-
2;1398847375.sql;1400861866.sql;group_msg;Insertion:NewTable;ctime;TIMESTAMP;false;0;-
2;1398847375.sql;1400861866.sql;group_msg;Insertion:NewTable;gid;INTUNSIGNED;false;0;-
2;1398847375.sql;1400861866.sql;group_msg;Insertion:NewTable;id;BIGINTUNSIGNED;true;0;-
2;1398847375.sql;1400861866.sql;group_msg;Insertion:NewTable;mid;BIGINTUNSIGNED;false;0;-
2;1398847375.sql;1400861866.sql;group_msg;Insertion:NewTable;msg;BLOB;false;0;-
2;1398847375.sql;1400861866.sql;group_msg;Insertion:NewTable;mtime;TIMESTAMP;false;0;-
2;1398847375.sql;1400861866.sql;group_msg;Insertion:NewTable;ttl;BIGINT;false;0;-
2;1398847375.sql;1400861866.sql;public_msg;Insertion:NewTable;ctime;TIMESTAMP;false;0;-
2;1398847375.sql;1400861866.sql;public_msg;Insertion:NewTable;id;BIGINTUNSIGNED;true;0;-
2;1398847375.sql;1400861866.sql;public_msg;Insertion:NewTable;mid;BIGINTUNSIGNED;false;0;-
2;1398847375.sql;1400861866.sql;public_msg;Insertion:NewTable;msg;BLOB;false;0;-
2;1398847375.sql;1400861866.sql;public_msg;Insertion:NewTable;mtime;TIMESTAMP;false;0;-
2;1398847375.sql;1400861866.sql;public_msg;Insertion:NewTable;ttl;BIGINT;false;0;-
2;1398847375.sql;1400861866.sql;public_msg_log;Insertion:NewTable;ftime;TIMESTAMP;false;0;-
2;1398847375.sql;1400861866.sql;public_msg_log;Insertion:NewTable;mid;BIGINTUNSIGNED;false;0;-
2;1398847375.sql;1400861866.sql;public_msg_log;Insertion:NewTable;stime;TIMESTAMP;false;0;-
