mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2014-11	1	2	9	2	0	9	0	0	0	0	0	0	0	9	0	0	9	0	9
1	2014-12	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2015-01	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2015-02	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2015-03	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2015-04	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2015-05	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2015-06	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2015-07	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2015-08	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2015-09	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2015-10	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2015-11	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2015-12	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2016-01	1	2	9	2	2	9	9	0	0	0	0	0	0	9	9	0	9	9	18
15	2016-02	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2016-03	2	2	10	0	0	0	0	2	1	1	0	0	1	2	1	1	2	2	4
17	2016-04	2	2	10	0	0	0	0	2	2	0	0	0	0	2	2	0	2	2	4
18	2016-05	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2016-06	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2016-07	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2016-08	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2016-09	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2016-10	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2016-11	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2016-12	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2017-01	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2017-02	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2017-03	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2017-04	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2017-05	1	3	15	1	0	5	0	0	0	0	0	1	5	5	0	0	5	0	5
31	2017-06	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2017-07	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2017-08	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	2017-09	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	2017-10	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	2017-11	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	2017-12	1	4	17	1	0	2	0	0	0	0	0	1	2	2	0	0	2	0	2
