trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1495537733		1495537733.sql	2017-05-23 11:08:53	0	0	0		6		19	6	0	19	0	0	0	0	0			19	0	0	19	0	19	
1	1496380364	1495537733.sql	1496380364.sql	2017-06-02 05:12:44	9	1	1	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	1498731648	1496380364.sql	1498731648.sql	2017-06-29 10:20:48	36	1	2	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1501145279	1498731648.sql	1501145279.sql	2017-07-27 08:47:59	64	1	3	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1501153860	1501145279.sql	1501153860.sql	2017-07-27 11:11:00	65	1	3	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1501153920	1501153860.sql	1501153920.sql	2017-07-27 11:12:00	65	1	3	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1501153982	1501153920.sql	1501153982.sql	2017-07-27 11:13:02	65	1	3	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1501495780	1501153982.sql	1501495780.sql	2017-07-31 10:09:40	68	1	3	6	6	19	19	1	1	3	3	7	7	0	0	0	0	10	10	0	10	10	20	
8	1501563843	1501495780.sql	1501563843.sql	2017-08-01 05:04:03	69	1	3	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1501741868	1501563843.sql	1501741868.sql	2017-08-03 06:31:08	71	1	3	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1501741912	1501741868.sql	1501741912.sql	2017-08-03 06:31:52	71	1	3	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	1501742020	1501741912.sql	1501742020.sql	2017-08-03 06:33:40	71	1	3	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	1505798090	1501742020.sql	1505798090.sql	2017-09-19 05:14:50	118	1	4	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	1505883019	1505798090.sql	1505883019.sql	2017-09-20 04:50:19	119	1	4	6	6	19	19	0	0	0	0	0	0	11	0	0	0	0	0	11	0	11	11	
14	1516273328	1505883019.sql	1516273328.sql	2018-01-18 11:02:08	239	1	8	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	1516273624	1516273328.sql	1516273624.sql	2018-01-18 11:07:04	239	1	8	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	1532695820	1516273624.sql	1532695820.sql	2018-07-27 12:50:20	430	2	15	6	6	19	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
