Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
ea_appointments	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	11	11	11	1	4	1	0.21	0.05	4	20	1	21
ea_consents	2	17	-	18	2018-06-24 11:17:04	2018-06-24 15:12:13	5	5	0	7	8	7.5	1.14	1	1	0.5	0.5	1	20	1	21
ea_migrations	6	13	-	18	2017-11-15 22:02:46	2018-06-24 15:12:13	5	5	220	1	1	1	1	0	0	0	0		20	0	20
ea_roles	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	11	10	10.58	0.91	7	2	0.37	0.11	3.5	20	2	22
ea_secretaries_providers	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	2	2	2	1	2	1	0.11	0.05	2	20	1	21
ea_service_categories	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	3	3	3	1	1	1	0.05	0.05	1	20	1	21
ea_services	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	7	9	8.26	1.29	5	3	0.26	0.16	1.67	20	1	21
ea_services_providers	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	2	2	2	1	2	1	0.11	0.05	2	20	1	21
ea_settings	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	3	3	3	1	1	1	0.05	0.05	1	20	1	21
ea_user_settings	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	10	12	11.47	1.2	3	3	0.16	0.16	1	20	1	21
ea_users	19	0	-	18	2013-10-11 15:58:46	2018-06-24 15:12:13	0	5	1716	12	12	12	1	2	1	0.11	0.05	2	20	1	21
