trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1351045548		1351045548.sql	2012-10-24 02:25:48	0	0	0		10		57	10	0	57	0	0	0	0	0			57	0	0	57	0	57	
1	1351980856	1351045548.sql	1351980856.sql	2012-11-03 22:14:16	10	1	1	10	10	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	1351982341	1351980856.sql	1351982341.sql	2012-11-03 22:39:01	10	1	1	10	10	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1351987071	1351982341.sql	1351987071.sql	2012-11-03 23:57:51	10	1	1	10	10	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1352065982	1351987071.sql	1352065982.sql	2012-11-04 21:53:02	11	1	1	10	10	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1352138542	1352065982.sql	1352138542.sql	2012-11-05 18:02:22	12	1	1	10	10	57	55	0	0	0	0	0	2	0	0	0	-2	0	2	0	0	2	2	
6	1352149491	1352138542.sql	1352149491.sql	2012-11-05 21:04:51	12	1	1	10	10	55	57	0	0	0	0	2	0	1	0	0	2	2	0	1	2	1	3	
7	1352326840	1352149491.sql	1352326840.sql	2012-11-07 22:20:40	14	1	1	10	10	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	1361359984	1352326840.sql	1361359984.sql	2013-02-20 11:33:04	119	1	4	10	10	57	57	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	
9	1361567707	1361359984.sql	1361567707.sql	2013-02-22 21:15:07	121	1	4	10	10	57	57	10	10	57	57	0	0	0	0	0	0	57	57	0	57	57	114	
10	1362521005	1361567707.sql	1362521005.sql	2013-03-05 22:03:25	132	1	5	10	10	57	59	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	
11	1363622213	1362521005.sql	1363622213.sql	2013-03-18 15:56:53	145	1	5	10	10	59	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	1387126223	1363622213.sql	1387126223.sql	2013-12-15 16:50:23	417	2	14	10	10	59	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	1429020946	1387126223.sql	1429020946.sql	2015-04-14 14:15:46	902	3	30	10	10	59	59	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
14	1440288870	1429020946.sql	1440288870.sql	2015-08-23 00:14:30	1032	3	34	10	10	59	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	1456446634	1440288870.sql	1456446634.sql	2016-02-26 00:30:34	1219	4	41	10	10	59	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	1482802705	1456446634.sql	1482802705.sql	2016-12-27 01:38:25	1524	5	51	10	10	59	59	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
