;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;
categories;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;
comments;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;
extend;6;6;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;
meta;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;
page_meta;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;
pages;8;8;8;8;8;7;7;7;7;0;0;0;0;0;0;0;0;
post_meta;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;
posts;11;11;11;11;11;10;12;12;12;0;0;0;0;0;0;0;0;
sessions;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;
users;8;8;8;8;8;8;8;8;8;0;0;0;0;0;0;0;0;
{{prefix}}categories;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;
{{prefix}}comments;0;0;0;0;0;0;0;0;0;7;7;7;7;7;7;7;7;
{{prefix}}extend;0;0;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;
{{prefix}}meta;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;
{{prefix}}page_meta;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;
{{prefix}}pages;0;0;0;0;0;0;0;0;0;7;9;9;9;9;9;9;9;
{{prefix}}post_meta;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;
{{prefix}}posts;0;0;0;0;0;0;0;0;0;12;12;12;12;12;12;12;12;
{{prefix}}sessions;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;
{{prefix}}users;0;0;0;0;0;0;0;0;0;8;8;8;8;8;8;8;8;
