trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1351980856;1351045548.sql;1351980856.sql;10;10;57;57;0;0;0;0;0;0;0;0
2;1351982341;1351980856.sql;1351982341.sql;10;10;57;57;0;0;0;0;0;0;0;0
3;1351987071;1351982341.sql;1351987071.sql;10;10;57;57;0;0;0;0;0;0;0;0
4;1352065982;1351987071.sql;1352065982.sql;10;10;57;57;0;0;0;0;0;0;0;0
5;1352138542;1352065982.sql;1352138542.sql;10;10;57;55;0;0;0;2;0;0;0;0
6;1352149491;1352138542.sql;1352149491.sql;10;10;55;57;0;0;2;0;1;0;0;0
7;1352326840;1352149491.sql;1352326840.sql;10;10;57;57;0;0;0;0;0;0;0;0
8;1361359984;1352326840.sql;1361359984.sql;10;10;57;57;0;0;1;1;0;0;0;0
9;1361567707;1361359984.sql;1361567707.sql;10;10;57;57;10;10;0;0;0;0;57;57
10;1362521005;1361567707.sql;1362521005.sql;10;10;57;59;0;0;2;0;0;0;0;0
11;1363622213;1362521005.sql;1363622213.sql;10;10;59;59;0;0;0;0;0;0;0;0
12;1387126223;1363622213.sql;1387126223.sql;10;10;59;59;0;0;0;0;0;0;0;0
13;1429020946;1387126223.sql;1429020946.sql;10;10;59;59;0;0;0;0;1;0;0;0
14;1440288870;1429020946.sql;1440288870.sql;10;10;59;59;0;0;0;0;0;0;0;0
15;1456446634;1440288870.sql;1456446634.sql;10;10;59;59;0;0;0;0;0;0;0;0
16;1482802705;1456446634.sql;1482802705.sql;10;10;59;59;0;0;0;0;1;0;0;0
