trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1351045548.sql;1351980856.sql;-;-;-;-;-;-;-
2;1351980856.sql;1351982341.sql;-;-;-;-;-;-;-
3;1351982341.sql;1351987071.sql;-;-;-;-;-;-;-
4;1351987071.sql;1352065982.sql;-;-;-;-;-;-;-
5;1352065982.sql;1352138542.sql;pages;Deletion:UpdateTable;template;VARCHAR(160);false;0;-
5;1352065982.sql;1352138542.sql;posts;Deletion:UpdateTable;template;VARCHAR(150);false;0;-
6;1352138542.sql;1352149491.sql;pages;Update:TypeChange;redirect;TEXT;false;0;-
6;1352138542.sql;1352149491.sql;posts;Insertion:UpdateTable;css;TEXT;false;0;-
6;1352138542.sql;1352149491.sql;posts;Insertion:UpdateTable;js;TEXT;false;0;-
7;1352149491.sql;1352326840.sql;-;-;-;-;-;-;-
8;1352326840.sql;1361359984.sql;sessions;Deletion:UpdateTable;date;DATETIME;false;0;-
8;1352326840.sql;1361359984.sql;sessions;Insertion:UpdateTable;expire;INT(10);false;0;-
9;1361359984.sql;1361567707.sql;categories;Deletion:DeleteTable;description;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;categories;Deletion:DeleteTable;id;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;categories;Deletion:DeleteTable;slug;VARCHAR(40);false;0;-
9;1361359984.sql;1361567707.sql;categories;Deletion:DeleteTable;title;VARCHAR(150);false;0;-
9;1361359984.sql;1361567707.sql;comments;Deletion:DeleteTable;date;DATETIME;false;0;-
9;1361359984.sql;1361567707.sql;comments;Deletion:DeleteTable;email;VARCHAR(140);false;0;-
9;1361359984.sql;1361567707.sql;comments;Deletion:DeleteTable;id;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;comments;Deletion:DeleteTable;name;VARCHAR(140);false;0;-
9;1361359984.sql;1361567707.sql;comments;Deletion:DeleteTable;post;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;comments;Deletion:DeleteTable;status;ENUM('PENDING','APPROVED','SPAM');false;0;-
9;1361359984.sql;1361567707.sql;comments;Deletion:DeleteTable;text;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;extend;Deletion:DeleteTable;attributes;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;extend;Deletion:DeleteTable;field;ENUM('TEXT','HTML','IMAGE','FILE');false;0;-
9;1361359984.sql;1361567707.sql;extend;Deletion:DeleteTable;id;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;extend;Deletion:DeleteTable;key;VARCHAR(160);false;0;-
9;1361359984.sql;1361567707.sql;extend;Deletion:DeleteTable;label;VARCHAR(160);false;0;-
9;1361359984.sql;1361567707.sql;extend;Deletion:DeleteTable;type;ENUM('POST','PAGE');false;0;-
9;1361359984.sql;1361567707.sql;meta;Deletion:DeleteTable;key;VARCHAR(140);false;0;-
9;1361359984.sql;1361567707.sql;meta;Deletion:DeleteTable;value;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;page_meta;Deletion:DeleteTable;data;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;page_meta;Deletion:DeleteTable;extend;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;page_meta;Deletion:DeleteTable;id;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;page_meta;Deletion:DeleteTable;page;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;pages;Deletion:DeleteTable;content;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;pages;Deletion:DeleteTable;id;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;pages;Deletion:DeleteTable;name;VARCHAR(64);false;0;-
9;1361359984.sql;1361567707.sql;pages;Deletion:DeleteTable;redirect;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;pages;Deletion:DeleteTable;slug;VARCHAR(150);false;0;-
9;1361359984.sql;1361567707.sql;pages;Deletion:DeleteTable;status;ENUM('DRAFT','PUBLISHED','ARCHIVED');false;0;-
9;1361359984.sql;1361567707.sql;pages;Deletion:DeleteTable;title;VARCHAR(150);false;0;-
9;1361359984.sql;1361567707.sql;post_meta;Deletion:DeleteTable;data;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;post_meta;Deletion:DeleteTable;extend;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;post_meta;Deletion:DeleteTable;id;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;post_meta;Deletion:DeleteTable;post;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;author;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;category;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;comments;TINYINT(1);false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;created;DATETIME;false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;css;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;description;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;html;TEXT;false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;id;INT(6);false;0;-
9;1361359984.sql;1361567707.sql;posts;Deletion:DeleteTable;js;TEXT;false;0;-
