mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2012-10	1	10	57	10	0	57	0	0	0	0	0	0	0	57	0	0	57	0	57
1	2012-11	7	10	57	0	0	0	0	2	2	1	0	0	0	2	2	1	2	3	5
2	2012-12	0	10	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2013-01	0	10	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2013-02	2	10	57	10	10	57	57	1	1	0	0	0	0	58	58	0	58	58	116
5	2013-03	2	10	59	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2
6	2013-04	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2013-05	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2013-06	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2013-07	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2013-08	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2013-09	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2013-10	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2013-11	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2013-12	1	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2014-01	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2014-02	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2014-03	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2014-04	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2014-05	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2014-06	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2014-07	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2014-08	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2014-09	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2014-10	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2014-11	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2014-12	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2015-01	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2015-02	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2015-03	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2015-04	1	10	59	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
31	2015-05	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2015-06	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2015-07	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	2015-08	1	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	2015-09	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	2015-10	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	2015-11	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	2015-12	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	2016-01	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	2016-02	1	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	2016-03	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	2016-04	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	2016-05	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	2016-06	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	2016-07	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	2016-08	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	2016-09	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	2016-10	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	2016-11	0	10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	2016-12	1	10	59	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
