;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
AggregatedCounter;-;0;0;0;0;0;-;-;-;-;0;0;0;1;-;
Counter;0;0;1;0;0;0;-;-;-;-;0;0;0;1;-;
DistributedLock;0;0;0;0;0;0;-;-;-;-;0;0;0;1;-;
Hash;0;0;0;0;0;0;-;-;-;-;0;0;0;2;-;
Job;0;0;0;0;0;0;-;-;-;-;0;0;0;1;-;
JobParameter;0;0;0;0;0;0;-;-;-;-;0;0;0;1;-;
JobQueue;0;0;0;0;1;0;-;-;-;-;0;0;0;2;-;
JobState;0;0;0;0;0;0;-;-;-;-;0;0;0;2;-;
List;0;0;0;0;0;0;-;-;-;-;0;0;0;1;-;
Server;0;0;0;0;0;0;-;-;-;-;0;0;0;1;-;
Set;0;1;0;0;0;0;-;-;-;-;0;1;1;2;-;
State;0;0;0;0;0;0;-;-;-;-;0;0;0;2;-;
[tablesPrefix]AggregatedCounter;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]Counter;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]DistributedLock;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]Hash;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]Job;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]JobParameter;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]JobQueue;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]JobState;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]List;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]Server;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]Set;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
[tablesPrefix]State;-;-;-;-;-;-;0;0;0;0;-;-;-;-;0;
