trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1451775583		1451775583.sql	2016-01-02 22:59:43	0	0	0	0	11	0	51	11	0	51	0	0	0	0	0	0	0	51	0	0	51	0	51	1	0	1
1	1452123409	1451775583.sql	1452123409.sql	2016-01-06 23:36:49	4	1	1	11	12	51	55	1	0	4	0	0	0	1	0	1	4	4	0	1	4	1	5	0	1	1
2	1452193346	1452123409.sql	1452193346.sql	2016-01-07 19:02:26	4	1	1	12	12	55	55	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
3	1452198349	1452193346.sql	1452198349.sql	2016-01-07 20:25:49	4	1	1	12	12	55	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1452203787	1452198349.sql	1452203787.sql	2016-01-07 21:56:27	4	1	1	12	12	55	55	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
5	1455403303	1452203787.sql	1455403303.sql	2016-02-13 22:41:43	41	1	2	12	12	55	55	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	0	1	1
6	1507566667	1455403303.sql	1507566667.sql	2017-10-09 16:31:07	645	2	22	12	12	55	55	12	12	55	55	0	0	0	0	0	0	55	55	0	55	55	110	1	0	1
7	1507569225	1507566667.sql	1507569225.sql	2017-10-09 17:13:45	645	2	22	12	12	55	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1507631299	1507569225.sql	1507631299.sql	2017-10-10 10:28:19	646	2	22	12	12	55	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1507724447	1507631299.sql	1507724447.sql	2017-10-11 12:20:47	647	2	22	12	12	55	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1520238757	1507724447.sql	1520238757.sql	2018-03-05 08:32:37	792	3	27	12	12	55	55	12	12	55	55	0	0	0	0	0	0	55	55	0	55	55	110	1	0	1
11	1520242320	1520238757.sql	1520242320.sql	2018-03-05 09:32:00	792	3	27	12	12	55	55	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
12	1520242669	1520242320.sql	1520242669.sql	2018-03-05 09:37:49	792	3	27	12	12	55	55	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
13	1534358217	1520242669.sql	1534358217.sql	2018-08-15 18:36:57	955	3	32	12	12	55	55	0	0	0	0	0	0	17	0	0	0	0	0	17	0	17	17	1	0	1
14	1542920876	1534358217.sql	1542920876.sql	2018-11-22 21:07:56	1054	3	35	12	12	55	55	12	12	55	55	0	0	0	0	0	0	55	55	0	55	55	110	1	0	1
