mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2016-01	5	12	55	12	0	55	0	0	0	3	0	1	4	55	0	3	55	3	58
1	2016-02	1	12	55	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2
2	2016-03	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2016-04	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2016-05	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2016-06	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2016-07	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2016-08	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2016-09	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2016-10	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2016-11	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2016-12	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2017-01	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2017-02	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2017-03	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2017-04	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2017-05	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2017-06	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2017-07	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2017-08	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2017-09	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2017-10	4	12	55	12	12	55	55	0	0	0	0	0	0	55	55	0	55	55	110
22	2017-11	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2017-12	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2018-01	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2018-02	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2018-03	3	12	55	12	12	55	55	0	0	2	0	0	0	55	55	2	55	57	112
27	2018-04	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2018-05	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2018-06	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2018-07	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2018-08	1	12	55	0	0	0	0	0	0	17	0	0	0	0	0	17	0	17	17
32	2018-09	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2018-10	0	12	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	2018-11	1	12	55	12	12	55	55	0	0	0	0	0	0	55	55	0	55	55	110
