Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
php_session	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	5	5	5	1	0	0	0	0		20	0	20
tbl_email	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	6	6	6	1	0	0	0	0		20	0	20
tbl_feed	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	6	6	6	1	0	0	0	0		20	0	20
tbl_group	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	4	4	4	1	0	0	0	0		20	0	20
tbl_layer	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	7	6	6.88	0.86	1	1	0.12	0.12	1	20	1	21
tbl_layer_subscription	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	4	4	4	1	0	0	0	0		20	0	20
tbl_search_suggest	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	3	3	3	1	0	0	0	0		20	0	20
tbl_ssshout	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	18	18	18	1	0	0	0	0		20	0	20
tbl_subdomain	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	6	6	6	1	0	0	0	0		20	0	20
tbl_user	8	0	-	7	2016-04-14 21:52:47	2017-02-01 01:20:32	0	1	292	11	11	11	1	0	0	0	0		20	0	20
