trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1424015304.sql;1424024588.sql;follow;Insertion:NewTable;followDate;DATETIME;false;0;-
1;1424015304.sql;1424024588.sql;follow;Insertion:NewTable;id;INT(11);false;0;-
1;1424015304.sql;1424024588.sql;follow;Insertion:NewTable;status;TEXT;false;0;-
1;1424015304.sql;1424024588.sql;follow;Insertion:NewTable;unfollowDate;DATETIME;false;0;-
1;1424015304.sql;1424024588.sql;follow;Insertion:NewTable;userId;BIGINT(20);false;0;-
1;1424015304.sql;1424024588.sql;follow;Insertion:NewTable;userName;VARCHAR(100);false;0;-
2;1424024588.sql;1424034220.sql;reply;Insertion:NewTable;answer;TEXT;false;0;-
2;1424024588.sql;1424034220.sql;reply;Insertion:NewTable;id;INT;false;0;-
2;1424024588.sql;1424034220.sql;reply;Insertion:NewTable;replyDate;DATETIME;false;0;-
2;1424024588.sql;1424034220.sql;reply;Insertion:NewTable;status;TEXT;false;0;-
2;1424024588.sql;1424034220.sql;reply;Insertion:NewTable;tweetId;BIGINT;false;0;-
2;1424024588.sql;1424034220.sql;reply;Insertion:NewTable;userId;BIGINT;false;0;-
2;1424024588.sql;1424034220.sql;reply;Insertion:NewTable;userName;VARCHAR(100);false;0;-
3;1424034220.sql;1424383631.sql;follow;Insertion:UpdateTable;lastAction;DATETIME;false;0;-
4;1424383631.sql;1426346613.sql;favorite;Insertion:NewTable;favDate;DATETIME;false;0;-
4;1424383631.sql;1426346613.sql;favorite;Insertion:NewTable;idfavorite;INT;false;0;-
4;1424383631.sql;1426346613.sql;favorite;Insertion:NewTable;status;TEXT;false;0;-
4;1424383631.sql;1426346613.sql;favorite;Insertion:NewTable;tweetId;INT;false;0;-
4;1424383631.sql;1426346613.sql;favorite;Insertion:NewTable;unfavDate;DATETIME;false;0;-
4;1424383631.sql;1426346613.sql;favorite;Insertion:NewTable;userId;INT;false;0;-
4;1424383631.sql;1426346613.sql;favorite;Insertion:NewTable;userName;VARCHAR(100);false;0;-
5;1426346613.sql;1426348402.sql;favorite;Insertion:UpdateTable;lastAction;DATETIME;false;0;-
6;1426348402.sql;1426349789.sql;favorite;Insertion:UpdateTable;id;INT;false;0;-
6;1426348402.sql;1426349789.sql;favorite;Deletion:UpdateTable;idfavorite;INT;false;0;-
7;1426349789.sql;1426350352.sql;favorite;Update:TypeChange;tweetId;BIGINT;false;0;-
7;1426349789.sql;1426350352.sql;favorite;Update:TypeChange;userId;BIGINT;false;0;-
8;1426350352.sql;1426350834.sql;-;-;-;-;-;-;-
9;1426350834.sql;1551358767.sql;favorite;Update:TypeChange;id;INT(11);false;0;-
9;1426350834.sql;1551358767.sql;favorite;Update:TypeChange;tweetId;BIGINT(20);false;0;-
9;1426350834.sql;1551358767.sql;favorite;Update:TypeChange;userId;BIGINT(20);false;0;-
9;1426350834.sql;1551358767.sql;reply;Update:TypeChange;id;INT(11);false;0;-
9;1426350834.sql;1551358767.sql;reply;Update:TypeChange;tweetId;BIGINT(20);false;0;-
9;1426350834.sql;1551358767.sql;reply;Update:TypeChange;userId;BIGINT(20);false;0;-
