;0;1;2;3;4;
tclassextend;0;0;0;0;0;
tclassextendattributes;0;0;0;0;0;
tclassextenddata;0;0;0;0;0;
tclassextenddatauseractivity;0;0;0;0;0;
tclassextendsets;0;0;0;0;0;
tcontent;0;0;0;0;0;
tcontentassignments;0;0;0;0;0;
tcontentcategories;0;0;0;0;0;
tcontentcategoryassign;0;0;0;0;0;
tcontentcomments;0;0;0;0;0;
tcontentdisplaytitleapprovals;0;0;0;0;0;
tcontenteventreminders;0;0;0;0;0;
tcontentfeedadvancedparams;0;0;0;0;0;
tcontentfeeditems;0;0;0;0;0;
tcontentfeeds;0;0;0;0;0;
tcontentobjects;0;0;0;0;0;
tcontentpublicsubmissionapprovals;0;0;0;0;0;
tcontentratings;0;0;0;0;0;
tcontentrelated;0;0;0;0;0;
tcontentstats;0;0;0;0;0;
tcontenttags;0;0;0;0;0;
temailreturnstats;0;0;0;0;0;
temails;0;0;0;0;0;
temailstats;0;0;0;0;0;
tfiles;0;0;0;0;0;
tformresponsepackets;0;0;0;0;0;
tformresponsequestions;0;0;0;0;0;
tglobals;0;0;0;0;0;
tmailinglist;0;0;0;0;0;
tmailinglistmembers;0;0;0;0;0;
tpermissions;0;0;0;0;0;
tredirects;0;0;0;0;0;
tsessiontracking;0;0;0;0;0;
tsettings;0;0;0;0;0;
tsystemobjects;0;0;0;0;0;
tuseraddresses;0;0;0;0;0;
tusers;0;0;0;0;0;
tusersfavorites;0;0;0;0;0;
tusersinterests;0;0;0;0;0;
tusersmemb;0;0;0;0;0;
tuserstags;0;0;0;0;0;
