;0;1;2;3;4;
tclassextend;12;12;12;12;12;
tclassextendattributes;16;16;16;16;16;
tclassextenddata;5;5;5;5;5;
tclassextenddatauseractivity;5;5;5;5;5;
tclassextendsets;7;7;7;7;7;
tcontent;59;59;59;59;59;
tcontentassignments;4;4;4;4;4;
tcontentcategories;15;15;15;15;15;
tcontentcategoryassign;8;8;8;8;8;
tcontentcomments;11;11;11;11;11;
tcontentdisplaytitleapprovals;4;4;4;4;4;
tcontenteventreminders;8;8;8;8;8;
tcontentfeedadvancedparams;8;8;8;8;8;
tcontentfeeditems;3;3;3;3;3;
tcontentfeeds;26;26;26;26;26;
tcontentobjects;8;8;8;8;8;
tcontentpublicsubmissionapprovals;4;4;4;4;4;
tcontentratings;5;5;5;5;5;
tcontentrelated;4;4;4;4;4;
tcontentstats;8;8;8;8;8;
tcontenttags;5;5;5;5;5;
temailreturnstats;4;4;4;4;4;
temails;16;16;16;16;16;
temailstats;7;7;7;7;7;
tfiles;13;13;13;13;13;
tformresponsepackets;6;6;6;6;6;
tformresponsequestions;5;5;5;5;5;
tglobals;2;2;2;2;2;
tmailinglist;7;7;7;7;7;
tmailinglistmembers;7;7;7;7;7;
tpermissions;4;4;4;4;4;
tredirects;3;3;3;3;3;
tsessiontracking;17;17;17;17;17;
tsettings;64;64;64;64;64;
tsystemobjects;4;4;4;4;4;
tuseraddresses;19;19;19;19;19;
tusers;37;37;37;37;37;
tusersfavorites;10;10;10;10;10;
tusersinterests;2;2;2;2;2;
tusersmemb;2;2;2;2;2;
tuserstags;4;4;4;4;4;
