table;dur;birth;death;chngs;s@s;s@e;sAvg
tclassextend;5;0;-;0;12;12;12.0
tclassextendattributes;5;0;-;0;16;16;16.0
tclassextenddata;5;0;-;0;5;5;5.0
tclassextenddatauseractivity;5;0;-;0;5;5;5.0
tclassextendsets;5;0;-;0;7;7;7.0
tcontent;5;0;-;0;59;59;59.0
tcontentassignments;5;0;-;0;4;4;4.0
tcontentcategories;5;0;-;0;15;15;15.0
tcontentcategoryassign;5;0;-;0;8;8;8.0
tcontentcomments;5;0;-;0;11;11;11.0
tcontentdisplaytitleapprovals;5;0;-;0;4;4;4.0
tcontenteventreminders;5;0;-;0;8;8;8.0
tcontentfeedadvancedparams;5;0;-;0;8;8;8.0
tcontentfeeditems;5;0;-;0;3;3;3.0
tcontentfeeds;5;0;-;0;26;26;26.0
tcontentobjects;5;0;-;0;8;8;8.0
tcontentpublicsubmissionapprovals;5;0;-;0;4;4;4.0
tcontentratings;5;0;-;0;5;5;5.0
tcontentrelated;5;0;-;0;4;4;4.0
tcontentstats;5;0;-;0;8;8;8.0
tcontenttags;5;0;-;0;5;5;5.0
temailreturnstats;5;0;-;0;4;4;4.0
temails;5;0;-;0;16;16;16.0
temailstats;5;0;-;0;7;7;7.0
tfiles;5;0;-;0;13;13;13.0
tformresponsepackets;5;0;-;0;6;6;6.0
tformresponsequestions;5;0;-;0;5;5;5.0
tglobals;5;0;-;0;2;2;2.0
tmailinglist;5;0;-;0;7;7;7.0
tmailinglistmembers;5;0;-;0;7;7;7.0
tpermissions;5;0;-;0;4;4;4.0
tredirects;5;0;-;0;3;3;3.0
tsessiontracking;5;0;-;0;17;17;17.0
tsettings;5;0;-;0;64;64;64.0
tsystemobjects;5;0;-;0;4;4;4.0
tuseraddresses;5;0;-;0;19;19;19.0
tusers;5;0;-;3;37;37;37.0
tusersfavorites;5;0;-;0;10;10;10.0
tusersinterests;5;0;-;0;2;2;2.0
tusersmemb;5;0;-;0;2;2;2.0
tuserstags;5;0;-;0;4;4;4.0
