;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
attribute;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;
basename;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;
member;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;
occurrence;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;
story;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;
topic;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;
topicdb.attribute;-;-;-;-;-;-;0;0;0;0;1;0;0;0;0;0;
topicdb.basename;-;-;-;-;-;-;0;0;0;0;1;0;0;0;0;0;
topicdb.member;-;-;-;-;-;-;0;0;0;0;1;0;0;0;0;0;
topicdb.occurrence;-;-;-;-;-;-;0;0;0;0;1;0;0;0;0;0;
topicdb.topic;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;
topicdb.topicmap;-;-;-;-;-;-;0;0;1;0;1;0;1;0;0;1;
topicdb.topicref;-;-;-;-;-;-;0;0;0;0;1;0;0;0;0;0;
topicmap;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;
topicref;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;
