trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1482943433;1482516117.sql;1482943433.sql;7;7;37;37;0;0;0;0;0;4;0;0
2;1483108595;1482943433.sql;1483108595.sql;7;7;37;37;0;0;0;0;0;0;0;0
3;1483112744;1483108595.sql;1483112744.sql;7;7;37;37;0;0;0;0;0;0;0;0
4;1483785957;1483112744.sql;1483785957.sql;7;7;37;37;1;1;0;0;0;0;5;5
5;1484165057;1483785957.sql;1484165057.sql;7;7;37;37;0;0;0;0;0;0;0;0
6;1487963987;1484165057.sql;1487963987.sql;7;7;37;37;7;7;0;0;0;0;37;37
7;1488019919;1487963987.sql;1488019919.sql;7;7;37;37;0;0;0;0;0;0;0;0
8;1492838801;1488019919.sql;1492838801.sql;7;7;37;36;0;0;0;1;0;0;0;0
9;1498760674;1492838801.sql;1498760674.sql;7;7;36;36;0;0;0;0;0;0;0;0
10;1552152962;1498760674.sql;1552152962.sql;7;7;36;36;0;0;6;6;0;0;0;0
11;1552200947;1552152962.sql;1552200947.sql;7;7;36;37;0;0;1;0;7;0;0;0
12;1552235933;1552200947.sql;1552235933.sql;7;7;37;37;0;0;1;1;0;0;0;0
13;1552501684;1552235933.sql;1552501684.sql;7;7;37;39;0;0;2;0;0;0;0;0
14;1552680091;1552501684.sql;1552680091.sql;7;7;39;39;0;0;0;0;0;0;0;0
15;1553452464;1552680091.sql;1553452464.sql;7;7;39;40;0;0;2;1;0;0;0;0
