mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2016-12	4	7	37	7	0	37	0	0	0	0	4	0	0	37	0	4	37	4	41
1	2017-01	2	7	37	1	1	5	5	0	0	0	0	0	0	5	5	0	5	5	10
2	2017-02	2	7	37	7	7	37	37	0	0	0	0	0	0	37	37	0	37	37	74
3	2017-03	0	7	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2017-04	1	7	36	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1
5	2017-05	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2017-06	1	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2017-07	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2017-08	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2017-09	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2017-10	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2017-11	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2017-12	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2018-01	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2018-02	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2018-03	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2018-04	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2018-05	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2018-06	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2018-07	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2018-08	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2018-09	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2018-10	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2018-11	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2018-12	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2019-01	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2019-02	0	7	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2019-03	6	7	40	0	0	0	0	12	8	7	0	0	4	12	8	7	12	15	27
