trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1457435150		1457435150.sql	2016-03-08 11:05:50	0	0	0	0	4	0	28	4	0	28	0	0	0	0	0	0	0	28	0	0	28	0	28	1	0	1
1	1457475542	1457435150.sql	1457475542.sql	2016-03-08 22:19:02	0	1	1	4	4	28	30	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	0	1	1
2	1457485881	1457475542.sql	1457485881.sql	2016-03-09 01:11:21	0	1	1	4	5	30	37	1	0	7	0	0	0	0	0	1	7	7	0	0	7	0	7	0	1	1
3	1457584338	1457485881.sql	1457584338.sql	2016-03-10 04:32:18	1	1	1	5	6	37	63	1	0	26	0	0	0	0	0	1	26	26	0	0	26	0	26	1	0	1
4	1457702358	1457584338.sql	1457702358.sql	2016-03-11 13:19:18	3	1	1	6	6	63	63	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
5	1458044696	1457702358.sql	1458044696.sql	2016-03-15 12:24:56	7	1	1	6	7	63	69	1	0	5	0	1	0	0	0	1	6	6	0	0	6	0	6	0	1	1
6	1458270452	1458044696.sql	1458270452.sql	2016-03-18 03:07:32	9	1	1	7	8	69	73	1	0	4	0	0	0	0	0	1	4	4	0	0	4	0	4	0	1	1
7	1458272078	1458270452.sql	1458272078.sql	2016-03-18 03:34:38	9	1	1	8	8	73	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1458288646	1458272078.sql	1458288646.sql	2016-03-18 08:10:46	9	1	1	8	8	73	74	0	0	0	0	3	2	0	0	0	1	3	2	0	3	2	5	0	1	1
9	1459319873	1458288646.sql	1459319873.sql	2016-03-30 06:37:53	21	1	1	8	8	74	77	0	0	0	0	3	0	1	0	0	3	3	0	1	3	1	4	0	1	1
10	1459349111	1459319873.sql	1459349111.sql	2016-03-30 14:45:11	22	1	1	8	9	77	82	1	0	5	0	0	0	0	0	1	5	5	0	0	5	0	5	0	1	1
11	1459396944	1459349111.sql	1459396944.sql	2016-03-31 04:02:24	22	1	1	9	10	82	87	1	0	5	0	0	0	0	0	1	5	5	0	0	5	0	5	0	1	1
12	1459404043	1459396944.sql	1459404043.sql	2016-03-31 06:00:43	22	1	1	10	9	87	83	0	1	0	5	1	0	0	0	-1	-4	1	5	0	1	5	6	0	1	1
13	1464652605	1459404043.sql	1464652605.sql	2016-05-30 23:56:45	83	1	3	9	10	83	88	1	0	5	0	0	0	0	0	1	5	5	0	0	5	0	5	0	1	1
14	1464915232	1464652605.sql	1464915232.sql	2016-06-03 00:53:52	86	1	3	10	11	88	101	1	0	13	0	0	0	0	0	1	13	13	0	0	13	0	13	0	1	1
15	1464927658	1464915232.sql	1464927658.sql	2016-06-03 04:20:58	86	1	3	11	12	101	107	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6	0	1	1
16	1464927896	1464927658.sql	1464927896.sql	2016-06-03 04:24:56	86	1	3	12	12	107	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1464928172	1464927896.sql	1464928172.sql	2016-06-03 04:29:32	86	1	3	12	12	107	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1464928187	1464928172.sql	1464928187.sql	2016-06-03 04:29:47	86	1	3	12	12	107	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1464940311	1464928187.sql	1464940311.sql	2016-06-03 07:51:51	86	1	3	12	12	107	107	1	1	6	6	0	0	0	0	0	0	6	6	0	6	6	12	0	1	1
20	1465878741	1464940311.sql	1465878741.sql	2016-06-14 04:32:21	97	1	4	12	13	107	114	1	0	5	0	2	0	0	0	1	7	7	0	0	7	0	7	0	1	1
21	1465878872	1465878741.sql	1465878872.sql	2016-06-14 04:34:32	97	1	4	13	13	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1465879274	1465878872.sql	1465879274.sql	2016-06-14 04:41:14	97	1	4	13	13	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1465879402	1465879274.sql	1465879402.sql	2016-06-14 04:43:22	97	1	4	13	13	114	113	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1	0	1	1
24	1468145808	1465879402.sql	1468145808.sql	2016-07-10 10:16:48	123	1	5	13	13	113	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1468217293	1468145808.sql	1468217293.sql	2016-07-11 06:08:13	124	1	5	13	13	113	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1468324125	1468217293.sql	1468324125.sql	2016-07-12 11:48:45	126	1	5	13	14	113	118	1	0	5	0	0	0	0	0	1	5	5	0	0	5	0	5	0	1	1
