trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1457475542;1457435150.sql;1457475542.sql;4;4;28;30;0;0;2;0;0;0;0;0
2;1457485881;1457475542.sql;1457485881.sql;4;5;30;37;1;0;0;0;0;0;7;0
3;1457584338;1457485881.sql;1457584338.sql;5;6;37;63;1;0;0;0;0;0;26;0
4;1457702358;1457584338.sql;1457702358.sql;6;6;63;63;0;0;0;0;1;0;0;0
5;1458044696;1457702358.sql;1458044696.sql;6;7;63;69;1;0;1;0;0;0;5;0
6;1458270452;1458044696.sql;1458270452.sql;7;8;69;73;1;0;0;0;0;0;4;0
7;1458272078;1458270452.sql;1458272078.sql;8;8;73;73;0;0;0;0;0;0;0;0
8;1458288646;1458272078.sql;1458288646.sql;8;8;73;74;0;0;3;2;0;0;0;0
9;1459319873;1458288646.sql;1459319873.sql;8;8;74;77;0;0;3;0;1;0;0;0
10;1459349111;1459319873.sql;1459349111.sql;8;9;77;82;1;0;0;0;0;0;5;0
11;1459396944;1459349111.sql;1459396944.sql;9;10;82;87;1;0;0;0;0;0;5;0
12;1459404043;1459396944.sql;1459404043.sql;10;9;87;83;0;1;1;0;0;0;0;5
13;1464652605;1459404043.sql;1464652605.sql;9;10;83;88;1;0;0;0;0;0;5;0
14;1464915232;1464652605.sql;1464915232.sql;10;11;88;101;1;0;0;0;0;0;13;0
15;1464927658;1464915232.sql;1464927658.sql;11;12;101;107;1;0;0;0;0;0;6;0
16;1464927896;1464927658.sql;1464927896.sql;12;12;107;107;0;0;0;0;0;0;0;0
17;1464928172;1464927896.sql;1464928172.sql;12;12;107;107;0;0;0;0;0;0;0;0
18;1464928187;1464928172.sql;1464928187.sql;12;12;107;107;0;0;0;0;0;0;0;0
19;1464940311;1464928187.sql;1464940311.sql;12;12;107;107;1;1;0;0;0;0;6;6
20;1465878741;1464940311.sql;1465878741.sql;12;13;107;114;1;0;2;0;0;0;5;0
21;1465878872;1465878741.sql;1465878872.sql;13;13;114;114;0;0;0;0;0;0;0;0
22;1465879274;1465878872.sql;1465879274.sql;13;13;114;114;0;0;0;0;0;0;0;0
23;1465879402;1465879274.sql;1465879402.sql;13;13;114;113;0;0;0;1;0;0;0;0
24;1468145808;1465879402.sql;1468145808.sql;13;13;113;113;0;0;0;0;0;0;0;0
25;1468217293;1468145808.sql;1468217293.sql;13;13;113;113;0;0;0;0;0;0;0;0
26;1468324125;1468217293.sql;1468324125.sql;13;14;113;118;1;0;0;0;0;0;5;0
27;1468574278;1468324125.sql;1468574278.sql;14;14;118;119;0;0;1;0;0;0;0;0
28;1468931259;1468574278.sql;1468931259.sql;14;15;119;128;1;0;0;0;0;0;9;0
29;1469012112;1468931259.sql;1469012112.sql;15;15;128;129;0;0;1;0;0;0;0;0
30;1469012915;1469012112.sql;1469012915.sql;15;15;129;129;0;0;0;0;0;0;0;0
31;1469154691;1469012915.sql;1469154691.sql;15;16;129;138;1;0;0;0;0;0;9;0
32;1469160544;1469154691.sql;1469160544.sql;16;16;138;141;0;0;3;0;0;0;0;0
33;1469368536;1469160544.sql;1469368536.sql;16;16;141;142;0;0;1;0;0;0;0;0
34;1469577332;1469368536.sql;1469577332.sql;16;16;142;142;0;0;0;0;0;0;0;0
35;1469830317;1469577332.sql;1469830317.sql;16;16;142;143;0;0;1;0;0;0;0;0
36;1470111535;1469830317.sql;1470111535.sql;16;17;143;153;1;0;0;0;0;0;10;0
37;1470313873;1470111535.sql;1470313873.sql;17;17;153;153;0;0;0;0;0;0;0;0
38;1470692041;1470313873.sql;1470692041.sql;17;17;153;153;0;0;0;0;0;0;0;0
39;1470812186;1470692041.sql;1470812186.sql;17;18;153;159;1;0;0;1;0;0;7;0
40;1471311093;1470812186.sql;1471311093.sql;18;18;159;160;0;0;1;0;0;0;0;0
41;1471914703;1471311093.sql;1471914703.sql;18;18;160;161;0;0;3;2;0;0;0;0
42;1471996143;1471914703.sql;1471996143.sql;18;18;161;161;0;0;0;0;0;0;0;0
43;1472193486;1471996143.sql;1472193486.sql;18;19;161;166;1;0;0;0;0;0;5;0
44;1472442103;1472193486.sql;1472442103.sql;19;19;166;166;0;0;0;0;1;0;0;0
45;1472508084;1472442103.sql;1472508084.sql;19;19;166;166;1;1;0;0;0;0;5;5
46;1473812529;1472508084.sql;1473812529.sql;19;19;166;167;0;0;1;0;0;0;0;0
47;1473843244;1473812529.sql;1473843244.sql;19;19;167;168;0;0;1;0;0;0;0;0
48;1476276750;1473843244.sql;1476276750.sql;19;19;168;169;0;0;1;0;0;0;0;0
49;1476300248;1476276750.sql;1476300248.sql;19;19;169;170;0;0;1;0;0;0;0;0
50;1476340780;1476300248.sql;1476340780.sql;19;20;170;175;1;0;0;0;0;0;5;0
51;1476407693;1476340780.sql;1476407693.sql;20;19;175;170;0;1;1;1;2;0;0;5
52;1477445548;1476407693.sql;1477445548.sql;19;19;170;170;0;0;0;0;0;0;0;0
53;1477451380;1477445548.sql;1477451380.sql;19;19;170;171;0;0;1;0;0;0;0;0
54;1477537239;1477451380.sql;1477537239.sql;19;19;171;172;0;0;1;0;0;0;0;0
55;1477543880;1477537239.sql;1477543880.sql;19;19;172;173;0;0;1;0;0;0;0;0
56;1479451902;1477543880.sql;1479451902.sql;19;20;173;181;1;0;0;0;0;0;8;0
57;1480825028;1479451902.sql;1480825028.sql;20;21;181;187;1;0;0;0;0;0;6;0
58;1480900730;1480825028.sql;1480900730.sql;21;21;187;187;0;0;0;0;0;0;0;0
59;1481070644;1480900730.sql;1481070644.sql;21;21;187;188;0;0;1;0;0;0;0;0
60;1481071973;1481070644.sql;1481071973.sql;21;21;188;190;0;0;2;0;0;0;0;0
61;1481078993;1481071973.sql;1481078993.sql;21;21;190;191;0;0;1;0;0;0;0;0
62;1481158676;1481078993.sql;1481158676.sql;21;21;191;192;0;0;1;0;0;0;0;0
63;1481172891;1481158676.sql;1481172891.sql;21;21;192;194;1;1;0;0;0;0;7;5
64;1481250863;1481172891.sql;1481250863.sql;21;21;194;195;0;0;1;0;0;0;0;0
65;1481964337;1481250863.sql;1481964337.sql;21;22;195;200;1;0;0;0;0;0;5;0
66;1482439247;1481964337.sql;1482439247.sql;22;22;200;201;0;0;1;0;0;0;0;0
67;1482456542;1482439247.sql;1482456542.sql;22;22;201;201;0;0;1;1;0;0;0;0
68;1482558329;1482456542.sql;1482558329.sql;22;22;201;202;0;0;1;0;0;0;0;0
69;1485867152;1482558329.sql;1485867152.sql;22;22;202;203;0;0;1;0;0;0;0;0
70;1485908414;1485867152.sql;1485908414.sql;22;22;203;204;0;0;1;0;0;0;0;0
71;1485909254;1485908414.sql;1485909254.sql;22;22;204;205;0;0;1;0;0;0;0;0
72;1486376969;1485909254.sql;1486376969.sql;22;22;205;203;0;0;1;3;0;0;0;0
73;1499648396;1486376969.sql;1499648396.sql;22;22;203;204;0;0;1;0;0;0;0;0
