table;dur;birth;death;chngs;s@s;s@e;sAvg
blog_entries;17;57;-;3;6;9;8.529411
client;4;15;18;0;6;6;6.0
clients;55;19;-;0;6;6;6.0
conference_administrators;69;5;-;1;5;6;5.1449275
conference_components;35;39;-;0;7;7;7.0
conference_dates;68;6;-;9;4;5;4.970588
conference_dates_new;1;50;50;0;5;5;5.0
conference_series;54;20;-;1;5;6;5.8703704
conference_series_administrators;48;26;-;0;5;5;5.0
conference_staff;11;63;-;0;7;7;7.0
conference_venues;53;10;62;0;5;5;5.0
conferences;72;2;-;12;7;15;10.986111
external_resources;9;65;-;5;5;8;7.111111
featured_speakers;46;28;-;0;9;9;9.0
localized_strings;74;0;-;1;6;6;6.0
questions;61;13;-;0;5;5;5.0
rooms;74;0;-;0;7;7;7.0
session_survey_responses;60;14;-;0;13;13;13.0
session_types;38;36;-;2;10;12;11.447369
sessions;71;3;-;8;26;30;27.239437
sponsors;43;31;-;7;9;10;11.83721
temporary_email;2;43;44;1;5;5;5.0
temporary_emails;29;45;-;0;5;5;5.0
tracks;18;56;-;0;8;8;8.0
users;74;0;-;7;9;15;13.081081
venue_rooms;1;11;11;0;5;5;5.0
venues;74;0;-;4;6;10;8.067568
