trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1370094337;1369832728.sql;1370094337.sql;9;9;68;68;0;0;1;1;0;0;0;0
2;1370960493;1370094337.sql;1370960493.sql;9;9;68;68;0;0;1;1;7;0;0;0
3;1371213542;1370960493.sql;1371213542.sql;9;9;68;68;0;0;0;0;0;0;0;0
4;1372885297;1371213542.sql;1372885297.sql;9;9;68;68;0;0;0;0;1;0;0;0
5;1372958455;1372885297.sql;1372958455.sql;9;9;68;68;1;1;0;0;0;0;4;4
6;1373368502;1372958455.sql;1373368502.sql;9;9;68;68;0;0;0;0;0;0;0;0
7;1373377729;1373368502.sql;1373377729.sql;9;10;68;74;2;1;2;1;0;0;11;6
8;1373436789;1373377729.sql;1373436789.sql;10;10;74;74;0;0;0;0;0;0;0;0
9;1373445411;1373436789.sql;1373445411.sql;10;10;74;74;0;0;0;0;0;0;0;0
10;1373468337;1373445411.sql;1373468337.sql;10;10;74;74;0;0;0;0;0;0;0;0
11;1373470304;1373468337.sql;1373470304.sql;10;10;74;74;0;0;0;0;0;0;0;0
12;1373546694;1373470304.sql;1373546694.sql;10;10;74;74;1;1;0;0;0;0;6;6
13;1373571271;1373546694.sql;1373571271.sql;10;10;74;75;0;0;2;1;1;0;0;0
14;1373638181;1373571271.sql;1373638181.sql;10;10;75;77;0;0;2;0;0;0;0;0
15;1374082668;1373638181.sql;1374082668.sql;10;10;77;79;0;0;8;6;1;0;0;0
16;1374141703;1374082668.sql;1374141703.sql;10;10;79;79;0;0;0;0;0;0;0;0
17;1374143430;1374141703.sql;1374143430.sql;10;10;79;80;0;0;1;0;1;0;0;0
18;1375094423;1374143430.sql;1375094423.sql;10;10;80;81;0;0;1;0;0;0;0;0
19;1375114873;1375094423.sql;1375114873.sql;10;10;81;81;1;1;0;0;0;0;10;10
20;1375125482;1375114873.sql;1375125482.sql;10;10;81;81;0;0;3;3;0;0;0;0
21;1375196596;1375125482.sql;1375196596.sql;10;10;81;81;0;0;0;0;4;0;0;0
22;1375210037;1375196596.sql;1375210037.sql;10;10;81;80;1;1;3;4;4;0;10;10
23;1375210467;1375210037.sql;1375210467.sql;10;10;80;79;1;1;3;4;3;0;10;10
24;1375214791;1375210467.sql;1375214791.sql;10;10;79;81;0;0;2;0;1;0;0;0
25;1375871367;1375214791.sql;1375871367.sql;10;10;81;81;0;0;0;0;2;0;0;0
26;1375877465;1375871367.sql;1375877465.sql;10;10;81;81;0;0;0;0;2;0;0;0
27;1375879037;1375877465.sql;1375879037.sql;10;10;81;81;0;0;3;3;0;0;0;0
28;1375890427;1375879037.sql;1375890427.sql;10;10;81;81;0;0;0;0;0;0;0;0
29;1376838363;1375890427.sql;1376838363.sql;10;10;81;81;0;0;0;0;32;0;0;0
30;1380740961;1376838363.sql;1380740961.sql;10;10;81;81;0;0;2;2;0;0;0;0
31;1381073664;1380740961.sql;1381073664.sql;10;10;81;81;0;0;1;1;0;0;0;0
32;1381079921;1381073664.sql;1381079921.sql;10;10;81;81;0;0;1;1;0;0;0;0
33;1381311753;1381079921.sql;1381311753.sql;10;10;81;80;0;0;0;1;0;0;0;0
34;1383223372;1381311753.sql;1383223372.sql;10;10;80;80;1;1;1;1;6;0;6;6
35;1383590525;1383223372.sql;1383590525.sql;10;10;80;80;0;0;1;1;0;0;0;0
36;1384533077;1383590525.sql;1384533077.sql;10;10;80;80;0;0;0;0;3;0;0;0
37;1384551765;1384533077.sql;1384551765.sql;10;10;80;80;0;0;1;1;0;0;0;0
38;1384725980;1384551765.sql;1384725980.sql;10;10;80;80;0;0;2;2;0;0;0;0
39;1384788565;1384725980.sql;1384788565.sql;10;10;80;80;0;0;0;0;0;0;0;0
40;1390158152;1384788565.sql;1390158152.sql;10;10;80;80;1;1;0;0;0;0;6;6
41;1392214983;1390158152.sql;1392214983.sql;10;11;80;86;1;0;0;0;0;0;6;0
42;1392590355;1392214983.sql;1392590355.sql;11;11;86;87;0;0;1;0;0;0;0;0
43;1393332793;1392590355.sql;1393332793.sql;11;11;87;87;0;0;24;24;9;0;0;0
44;1397824799;1393332793.sql;1397824799.sql;11;12;87;106;1;0;0;0;0;0;19;0
45;1398448184;1397824799.sql;1398448184.sql;12;12;106;107;0;0;1;0;0;0;0;0
46;1398465228;1398448184.sql;1398465228.sql;12;13;107;118;1;0;3;3;0;0;11;0
47;1399313680;1398465228.sql;1399313680.sql;13;13;118;118;1;1;4;4;0;0;11;11
48;1399400793;1399313680.sql;1399400793.sql;13;13;118;118;1;1;0;0;0;0;11;11
49;1399465914;1399400793.sql;1399465914.sql;13;13;118;118;0;0;2;2;0;0;0;0
50;1404725663;1399465914.sql;1404725663.sql;13;13;118;119;0;0;2;1;0;0;0;0
51;1406734905;1404725663.sql;1406734905.sql;13;13;119;125;0;0;6;0;0;0;0;0
52;1408714185;1406734905.sql;1408714185.sql;13;14;125;148;1;0;0;0;0;0;23;0
53;1408892890;1408714185.sql;1408892890.sql;14;14;148;149;0;0;1;0;0;0;0;0
54;1408894085;1408892890.sql;1408894085.sql;14;14;149;150;0;0;1;0;0;0;0;0
55;1408967349;1408894085.sql;1408967349.sql;14;14;150;150;0;0;0;0;2;0;0;0
56;1409675831;1408967349.sql;1409675831.sql;14;14;150;150;0;0;3;3;0;0;0;0
57;1409681524;1409675831.sql;1409681524.sql;14;14;150;150;0;0;0;0;1;0;0;0
58;1410282685;1409681524.sql;1410282685.sql;14;14;150;150;0;0;0;0;1;0;0;0
59;1415027889;1410282685.sql;1415027889.sql;14;14;150;150;0;0;14;14;10;0;0;0
60;1415029876;1415027889.sql;1415029876.sql;14;14;150;150;0;0;13;13;0;0;0;0
61;1415467555;1415029876.sql;1415467555.sql;14;14;150;150;0;0;2;2;9;0;0;0
62;1415700279;1415467555.sql;1415700279.sql;14;14;150;150;0;0;0;0;1;0;0;0
63;1415783969;1415700279.sql;1415783969.sql;14;14;150;164;0;0;14;0;0;0;0;0
64;1415786310;1415783969.sql;1415786310.sql;14;14;164;164;0;0;0;0;0;0;0;0
65;1417716757;1415786310.sql;1417716757.sql;14;14;164;166;0;0;2;0;0;0;0;0
66;1417803896;1417716757.sql;1417803896.sql;14;14;166;164;0;0;0;2;1;0;0;0
67;1417803926;1417803896.sql;1417803926.sql;14;14;164;166;0;0;2;0;0;0;0;0
68;1417949781;1417803926.sql;1417949781.sql;14;14;166;166;0;0;2;2;1;0;0;0
69;1417950517;1417949781.sql;1417950517.sql;14;14;166;166;0;0;2;2;1;0;0;0
70;1417951637;1417950517.sql;1417951637.sql;14;14;166;166;0;0;2;2;0;0;0;0
71;1419282023;1417951637.sql;1419282023.sql;14;14;166;168;0;0;3;1;1;0;0;0
72;1419595309;1419282023.sql;1419595309.sql;14;14;168;168;0;0;1;1;0;0;0;0
73;1423229333;1419595309.sql;1423229333.sql;14;14;168;169;0;0;1;0;0;0;0;0
74;1424767814;1423229333.sql;1424767814.sql;14;14;169;169;0;0;0;0;1;0;0;0
75;1425554122;1424767814.sql;1425554122.sql;14;14;169;169;0;0;0;0;6;0;0;0
76;1427103567;1425554122.sql;1427103567.sql;14;14;169;171;0;0;2;0;0;0;0;0
77;1427114485;1427103567.sql;1427114485.sql;14;14;171;171;0;0;2;2;0;0;0;0
78;1427815506;1427114485.sql;1427815506.sql;14;14;171;173;0;0;4;2;0;0;0;0
79;1427998221;1427815506.sql;1427998221.sql;14;14;173;174;0;0;1;0;0;0;0;0
80;1428162462;1427998221.sql;1428162462.sql;14;14;174;175;0;0;1;0;0;0;0;0
81;1428249583;1428162462.sql;1428249583.sql;14;14;175;175;0;0;0;0;0;0;0;0
82;1428334240;1428249583.sql;1428334240.sql;14;14;175;175;0;0;0;0;0;0;0;0
83;1429263071;1428334240.sql;1429263071.sql;14;14;175;176;0;0;1;0;0;0;0;0
84;1431553349;1429263071.sql;1431553349.sql;14;14;176;177;0;0;1;0;0;0;0;0
85;1431675854;1431553349.sql;1431675854.sql;14;14;177;178;0;0;14;13;0;0;0;0
86;1431723690;1431675854.sql;1431723690.sql;14;14;178;178;0;0;2;2;0;0;0;0
87;1433670962;1431723690.sql;1433670962.sql;14;14;178;178;1;1;0;0;0;0;26;26
88;1433772982;1433670962.sql;1433772982.sql;14;14;178;179;0;0;1;0;0;0;0;0
89;1433781236;1433772982.sql;1433781236.sql;14;14;179;180;0;0;1;0;0;0;0;0
90;1434659179;1433781236.sql;1434659179.sql;14;14;180;181;0;0;1;0;0;0;0;0
91;1436374217;1434659179.sql;1436374217.sql;14;14;181;181;1;1;0;0;0;0;28;28
92;1436375284;1436374217.sql;1436375284.sql;14;14;181;160;1;1;0;0;0;0;7;28
93;1436544068;1436375284.sql;1436544068.sql;14;15;160;188;1;0;25;4;0;0;7;0
94;1436560254;1436544068.sql;1436560254.sql;15;15;188;188;1;1;0;0;0;0;28;28
95;1438870992;1436560254.sql;1438870992.sql;15;16;188;200;1;0;0;0;0;0;12;0
96;1441279752;1438870992.sql;1441279752.sql;16;16;200;200;0;0;1;1;0;0;0;0
97;1442258910;1441279752.sql;1442258910.sql;16;16;200;200;0;0;1;1;0;0;0;0
98;1442316289;1442258910.sql;1442316289.sql;16;16;200;201;0;0;1;0;0;0;0;0
99;1442576925;1442316289.sql;1442576925.sql;16;16;201;201;0;0;1;1;0;0;0;0
100;1442681647;1442576925.sql;1442681647.sql;16;16;201;203;0;0;3;1;0;0;0;0
101;1442842198;1442681647.sql;1442842198.sql;16;16;203;206;0;0;3;0;0;0;0;0
102;1442926145;1442842198.sql;1442926145.sql;16;16;206;207;0;0;1;0;0;0;0;0
103;1444026807;1442926145.sql;1444026807.sql;16;16;207;209;0;0;2;0;0;0;0;0
104;1445595911;1444026807.sql;1445595911.sql;16;16;209;208;0;0;4;5;0;0;0;0
105;1446459100;1445595911.sql;1446459100.sql;16;16;208;208;0;0;2;2;0;0;0;0
106;1446819536;1446459100.sql;1446819536.sql;16;16;208;208;0;0;0;0;1;0;0;0
107;1447333303;1446819536.sql;1447333303.sql;16;16;208;209;0;0;1;0;0;0;0;0
108;1447421407;1447333303.sql;1447421407.sql;16;16;209;209;0;0;0;0;1;0;0;0
109;1447425832;1447421407.sql;1447425832.sql;16;16;209;210;0;0;1;0;0;0;0;0
110;1452633321;1447425832.sql;1452633321.sql;16;16;210;212;0;0;2;0;0;0;0;0
111;1453388425;1452633321.sql;1453388425.sql;16;16;212;213;0;0;1;0;0;0;0;0
112;1454604366;1453388425.sql;1454604366.sql;16;16;213;215;0;0;2;0;0;0;0;0
113;1455816326;1454604366.sql;1455816326.sql;16;16;215;215;0;0;0;0;7;0;0;0
114;1461762520;1455816326.sql;1461762520.sql;16;16;215;215;0;0;0;0;1;0;0;0
