trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1420863569;1420863183.sql;1420863569.sql;6;6;25;25;1;1;0;0;0;0;2;2
2;1420869138;1420863569.sql;1420869138.sql;6;6;25;25;0;0;0;0;0;0;0;0
3;1420871667;1420869138.sql;1420871667.sql;6;7;25;28;1;0;0;0;0;0;3;0
4;1420918795;1420871667.sql;1420918795.sql;7;7;28;29;0;0;1;0;0;0;0;0
5;1420942986;1420918795.sql;1420942986.sql;7;7;29;29;0;0;0;0;0;0;0;0
6;1420944618;1420942986.sql;1420944618.sql;7;7;29;29;0;0;0;0;0;0;0;0
7;1421005768;1420944618.sql;1421005768.sql;7;7;29;29;0;0;0;0;0;0;0;0
8;1421007229;1421005768.sql;1421007229.sql;7;7;29;29;0;0;0;0;0;0;0;0
9;1421007419;1421007229.sql;1421007419.sql;7;7;29;29;0;0;0;0;0;0;0;0
10;1421010076;1421007419.sql;1421010076.sql;7;7;29;29;0;0;0;0;0;0;0;0
11;1421010629;1421010076.sql;1421010629.sql;7;7;29;29;0;0;0;0;0;0;0;0
12;1421028322;1421010629.sql;1421028322.sql;7;7;29;29;0;0;1;1;0;0;0;0
13;1424501307;1421028322.sql;1424501307.sql;7;7;29;30;0;0;1;0;0;0;0;0
14;1424501380;1424501307.sql;1424501380.sql;7;7;30;31;0;0;1;0;0;0;0;0
15;1424561802;1424501380.sql;1424561802.sql;7;7;31;31;0;0;0;0;0;0;0;0
16;1424668916;1424561802.sql;1424668916.sql;7;7;31;32;0;0;1;0;0;0;0;0
17;1424669757;1424668916.sql;1424669757.sql;7;7;32;32;0;0;0;0;0;0;0;0
18;1432067030;1424669757.sql;1432067030.sql;7;7;32;32;0;0;0;0;0;0;0;0
19;1442842740;1432067030.sql;1442842740.sql;7;7;32;32;0;0;0;0;0;0;0;0
20;1442844152;1442842740.sql;1442844152.sql;7;7;32;32;0;0;0;0;0;0;0;0
