;0;1;2;3;4;5;6;
address;13;13;13;13;13;13;13;
affiliate;31;31;31;31;31;31;31;
affiliate_transaction;6;6;6;6;6;6;6;
attribute;3;3;3;3;3;3;3;
attribute_description;3;3;3;3;3;3;3;
attribute_group;2;2;2;2;2;2;2;
attribute_group_description;3;3;3;3;3;3;3;
banner;3;3;3;3;3;3;3;
banner_image;4;4;4;4;4;4;4;
banner_image_description;4;4;4;4;4;4;4;
category;9;9;9;9;9;9;9;
category_description;6;6;6;6;6;6;6;
category_filter;2;2;2;2;2;2;2;
category_path;3;3;3;3;3;3;3;
category_to_layout;3;3;3;3;3;3;3;
category_to_store;2;2;2;2;2;2;2;
country;7;7;7;7;7;7;7;
coupon;14;14;14;14;14;14;14;
coupon_category;2;2;2;2;2;2;2;
coupon_history;6;6;6;6;6;6;6;
coupon_product;3;3;3;3;3;3;3;
currency;9;9;9;9;9;9;9;
custom_field;7;7;7;7;7;7;7;
custom_field_description;3;3;3;3;3;3;3;
custom_field_to_customer_group;2;2;2;2;2;2;2;
custom_field_value;3;3;3;3;3;3;3;
custom_field_value_description;4;4;4;4;4;4;4;
customer;19;19;19;19;19;19;19;
customer_ban_ip;2;2;2;2;2;2;2;
customer_field;6;6;6;6;6;6;6;
customer_group;7;7;7;7;7;7;7;
customer_group_description;4;4;4;4;4;4;4;
customer_history;4;4;4;4;4;4;4;
customer_ip;4;4;4;4;4;4;4;
customer_online;5;5;5;5;5;5;5;
customer_reward;6;6;6;6;6;6;6;
customer_transaction;6;6;6;6;6;6;6;
download;5;5;5;5;5;5;5;
download_description;3;3;3;3;3;3;3;
extension;3;3;3;3;3;3;3;
filter;3;3;3;3;3;3;3;
filter_description;4;4;4;4;4;4;4;
filter_group;2;2;2;2;2;2;2;
filter_group_description;3;3;3;3;3;3;3;
geo_zone;5;5;5;5;5;5;5;
information;4;4;4;4;4;4;4;
information_description;4;4;4;4;4;4;4;
information_to_layout;3;3;3;3;3;3;3;
information_to_store;2;2;2;2;2;2;2;
language;9;9;9;9;9;9;9;
layout;2;2;2;2;2;2;2;
layout_route;4;4;4;4;4;4;4;
length_class;2;2;2;2;2;2;2;
length_class_description;4;4;4;4;4;4;4;
manufacturer;4;4;4;4;4;4;4;
manufacturer_to_store;2;2;2;2;2;2;2;
option;3;3;3;3;3;3;3;
option_description;3;3;3;3;3;3;3;
option_value;4;4;4;4;4;4;4;
option_value_description;4;4;4;4;4;4;4;
order;58;58;58;58;58;58;58;
order_download;7;7;7;7;7;7;7;
order_field;6;6;6;6;6;6;6;
order_fraud;53;53;53;53;53;53;53;
order_history;6;6;6;6;6;6;6;
order_option;8;8;8;8;8;8;8;
order_product;10;10;10;10;10;10;10;
order_status;3;3;3;3;3;3;3;
order_total;7;7;7;7;7;7;7;
order_voucher;12;12;12;12;12;12;12;
product;31;31;31;31;31;31;31;
product_attribute;4;4;4;4;4;4;4;
product_description;7;7;7;7;7;7;7;
product_discount;8;8;8;8;8;8;8;
product_filter;2;2;2;2;2;2;2;
product_image;4;4;4;4;4;4;4;
product_option;5;5;5;5;5;5;5;
product_option_value;13;13;13;13;13;13;13;
product_related;2;2;2;2;2;2;2;
product_reward;4;4;4;4;4;4;4;
product_special;7;7;7;7;7;7;7;
product_to_category;2;2;2;2;2;2;2;
product_to_download;2;2;2;2;2;2;2;
product_to_layout;3;3;3;3;3;3;3;
product_to_store;2;2;2;2;2;2;2;
return;19;19;19;19;19;19;19;
return_action;3;3;3;3;3;3;3;
return_history;6;6;6;6;6;6;6;
return_reason;3;3;3;3;3;3;3;
return_status;3;3;3;3;3;3;3;
review;9;9;9;9;9;9;9;
setting;6;6;6;6;6;6;6;
stock_status;3;3;3;3;3;3;3;
store;4;4;4;4;4;4;4;
tax_class;5;5;5;5;5;5;5;
tax_rate;7;7;7;7;7;7;7;
tax_rate_to_customer_group;2;2;2;2;2;2;2;
tax_rule;5;5;5;5;5;5;5;
url_alias;3;3;3;3;3;3;3;
user;12;12;12;12;12;12;12;
user_group;3;3;3;3;3;3;3;
voucher;12;12;12;12;12;12;12;
voucher_history;5;5;5;5;5;5;5;
voucher_theme;2;2;2;2;2;2;2;
voucher_theme_description;3;3;3;3;3;3;3;
weight_class;2;2;2;2;2;2;2;
weight_class_description;4;4;4;4;4;4;4;
zone;5;5;5;5;5;5;5;
zone_to_geo_zone;6;6;6;6;6;6;6;
