trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;approved_at;INT(11);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;created_at;INT(11);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;id;INT(10);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;is_final;TINYINT(1);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;is_locked;TINYINT(1);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;level;INT(11);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;status;ENUM('PENDING','APPROVED','DENIED','COMPLETED');false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;subject_id;INT(11);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;subject_type;ENUM('SBCRTICKETORDER','SHOPORDERLINE','HELPDONATEORDER');false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;updated_at;INT(11);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;usr_rewarded_id;INT(11);false;0;-
1;1497555447.sql;1497603854.sql;rwd_basic;Deletion:DeleteTable;value;FLOAT;false;0;-
1;1497555447.sql;1497603854.sql;rwd_custom;Deletion:UpdateTable;amount;FLOAT;false;0;-
1;1497555447.sql;1497603854.sql;rwd_custom;Deletion:UpdateTable;amount_vat;INT(11);false;0;-
1;1497555447.sql;1497603854.sql;rwd_custom;Deletion:UpdateTable;type;ENUM('CASHBACK');false;0;-
1;1497555447.sql;1497603854.sql;rwd_custom;Update:TypeChange;subject_type;ENUM('SUBJECT');false;0;-
1;1497555447.sql;1497603854.sql;rwd_custom;Insertion:UpdateTable;value;DOUBLE;false;0;-
1;1497555447.sql;1497603854.sql;subject;Insertion:UpdateTable;amount_vat;INT(11);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;approved_at;INT(11);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;created_at;INT(11);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;id;INT(10);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;is_final;TINYINT(1);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;is_locked;TINYINT(1);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;level;INT(11);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;status;ENUM('PENDING','APPROVED','DENIED','PAID');false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;subject_id;INT(11);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;subject_type;ENUM('SUBJECT');false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;updated_at;INT(11);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;usr_rewarded_id;INT(11);false;0;-
2;1497603854.sql;1497605591.sql;rwd_basic;Insertion:NewTable;value;FLOAT;false;0;-
2;1497603854.sql;1497605591.sql;rwd_custom;Update:TypeChange;status;ENUM('PENDING','APPROVED','DENIED','PAID');false;0;-
2;1497603854.sql;1497605591.sql;rwd_custom;Update:TypeChange;value;FLOAT;false;0;-
2;1497603854.sql;1497605591.sql;rwd_extra;Update:TypeChange;status;ENUM('PENDING','APPROVED','DENIED','PAID');false;0;-
2;1497603854.sql;1497605591.sql;subject;Update:TypeChange;amount_vat;FLOAT;false;0;-
3;1497605591.sql;1530693121.sql;participant;Insertion:UpdateTable;eligible_to_level;INT;false;0;-
3;1497605591.sql;1530693121.sql;rwd_basic;Update:TypeChange;level;ASC;false;0;-
3;1497605591.sql;1530693121.sql;rwd_basic;Update:TypeChange;status;VARCHAR(64);false;0;-
3;1497605591.sql;1530693121.sql;rwd_basic;Update:TypeChange;subject_type;VARCHAR(128);false;0;-
3;1497605591.sql;1530693121.sql;rwd_basic;Update:TypeChange;value;DECIMAL(10,4);false;0;-
3;1497605591.sql;1530693121.sql;rwd_basic;Insertion:UpdateTable;status_reason;VARCHAR(128);false;0;-
3;1497605591.sql;1530693121.sql;rwd_custom;Insertion:UpdateTable;note;TEXT;false;0;-
3;1497605591.sql;1530693121.sql;rwd_custom;Insertion:UpdateTable;status_reason;VARCHAR(128);false;0;-
3;1497605591.sql;1530693121.sql;rwd_custom;Update:TypeChange;status;VARCHAR(64);false;0;-
3;1497605591.sql;1530693121.sql;rwd_custom;Update:TypeChange;subject_type;VARCHAR(128);false;0;-
3;1497605591.sql;1530693121.sql;rwd_custom;Update:TypeChange;value;DECIMAL(10,4);false;0;-
3;1497605591.sql;1530693121.sql;rwd_extra;Deletion:UpdateTable;rwd_basic_id;INT(10);false;0;-
3;1497605591.sql;1530693121.sql;rwd_extra;Update:TypeChange;status;VARCHAR(64);false;0;-
3;1497605591.sql;1530693121.sql;rwd_extra;Update:TypeChange;usr_rewarded_id;ASC;false;0;-
3;1497605591.sql;1530693121.sql;rwd_extra;Update:TypeChange;value;DECIMAL(10,4);false;0;-
3;1497605591.sql;1530693121.sql;rwd_extra;Insertion:UpdateTable;status_reason;VARCHAR(128);false;0;-
3;1497605591.sql;1530693121.sql;rwd_extra;Insertion:UpdateTable;subject_id;INT(11);false;0;-
3;1497605591.sql;1530693121.sql;rwd_extra;Insertion:UpdateTable;subject_type;ENUM('RWDBASIC');false;0;-
3;1497605591.sql;1530693121.sql;subject;Update:TypeChange;amount;FLOAT(11);false;0;-
3;1497605591.sql;1530693121.sql;subject;Update:TypeChange;amount_vat;FLOAT(11);false;0;-
