mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2017-06	3	5	39	6	1	52	12	2	3	5	0	0	-1	54	15	5	54	20	74
1	2017-07	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2017-08	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2017-09	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2017-10	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2017-11	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2017-12	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2018-01	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2018-02	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2018-03	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2018-04	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2018-05	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2018-06	0	5	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2018-07	1	5	45	0	0	0	0	7	1	12	0	0	6	7	1	12	7	13	20
