trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;author_id;UUID;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;body;TEXT;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;created_at;TIMESTAMPWITHOUTTIMEZONE;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;description;TEXT;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;is_minor;BOOLEAN;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;is_published;BOOLEAN;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;name;TEXT;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;notes;TEXT;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;ordinal;INTEGER;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;slug;TEXT;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;template_id;UUID;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;template_revision_id;UUID;false;0;-
1;1399486716.sql;1399662584.sql;template_revisions;Insertion:NewTable;updated_at;TIMESTAMPWITHOUTTIMEZONE;false;0;-
1;1399486716.sql;1399662584.sql;templates;Insertion:UpdateTable;is_publishable;BOOLEAN;false;0;-
1;1399486716.sql;1399662584.sql;templates;Insertion:UpdateTable;published_revision_id;UUID;false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;approver;TEXT;false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;auditable_id;INTEGER;false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;auditable_type;CHARACTERVARYING(255);false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;created_at;TIMESTAMPWITHOUTTIMEZONE;false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;flags;CHARACTERVARYING(255);false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;id;INTEGER;false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;notes;TEXT;false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;updated_at;TIMESTAMPWITHOUTTIMEZONE;false;0;-
2;1399662584.sql;1399664074.sql;audits;Insertion:NewTable;{};::CHARACTERVARYING[];false;0;-
2;1399662584.sql;1399664074.sql;pages;Insertion:UpdateTable;audit_flags;CHARACTERVARYING(255);false;0;-
2;1399662584.sql;1399664074.sql;pages;Insertion:UpdateTable;{};::CHARACTERVARYING[];false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;author_id;UUID;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;body;TEXT;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;created_at;TIMESTAMPWITHOUTTIMEZONE;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;description;TEXT;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;is_minor;BOOLEAN;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;is_published;BOOLEAN;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;name;TEXT;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;notes;TEXT;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;ordinal;INTEGER;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;slug;TEXT;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;template_id;UUID;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;template_revision_id;UUID;false;0;-
2;1399662584.sql;1399664074.sql;template_revisions;Deletion:DeleteTable;updated_at;TIMESTAMPWITHOUTTIMEZONE;false;0;-
2;1399662584.sql;1399664074.sql;templates;Insertion:UpdateTable;audit_flags;CHARACTERVARYING(255);false;0;-
2;1399662584.sql;1399664074.sql;templates;Insertion:UpdateTable;{};::CHARACTERVARYING[];false;0;-
2;1399662584.sql;1399664074.sql;templates;Deletion:UpdateTable;is_publishable;BOOLEAN;false;0;-
2;1399662584.sql;1399664074.sql;templates;Deletion:UpdateTable;published_revision_id;UUID;false;0;-
3;1399664074.sql;1399928152.sql;audits;Update:TypeChange;auditable_id;UUID;false;0;-
4;1399928152.sql;1400183684.sql;audits;Deletion:DeleteTable;approver;TEXT;false;0;-
4;1399928152.sql;1400183684.sql;audits;Deletion:DeleteTable;auditable_id;UUID;false;0;-
4;1399928152.sql;1400183684.sql;audits;Deletion:DeleteTable;auditable_type;CHARACTERVARYING(255);false;0;-
4;1399928152.sql;1400183684.sql;audits;Deletion:DeleteTable;created_at;TIMESTAMPWITHOUTTIMEZONE;false;0;-
4;1399928152.sql;1400183684.sql;audits;Deletion:DeleteTable;flags;CHARACTERVARYING(255);false;0;-
4;1399928152.sql;1400183684.sql;audits;Deletion:DeleteTable;id;INTEGER;false;0;-
4;1399928152.sql;1400183684.sql;audits;Deletion:DeleteTable;notes;TEXT;false;0;-
4;1399928152.sql;1400183684.sql;audits;Deletion:DeleteTable;updated_at;TIMESTAMPWITHOUTTIMEZONE;false;0;-
