trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1518098215;1516122997.sql;1518098215.sql;31;31;247;247;0;0;0;0;1;0;0;0
2;1518595174;1518098215.sql;1518595174.sql;31;31;247;247;0;0;0;0;0;0;0;0
3;1518904253;1518595174.sql;1518904253.sql;31;31;247;245;0;0;0;2;0;0;0;0
4;1519052139;1518904253.sql;1519052139.sql;31;31;245;245;0;0;2;2;0;0;0;0
5;1519053291;1519052139.sql;1519053291.sql;31;31;245;245;0;0;8;8;0;0;0;0
6;1519137315;1519053291.sql;1519137315.sql;31;31;245;245;0;0;2;2;0;0;0;0
7;1519138237;1519137315.sql;1519138237.sql;31;31;245;245;0;0;0;0;0;0;0;0
8;1520935249;1519138237.sql;1520935249.sql;31;31;245;249;0;0;4;0;0;0;0;0
9;1521210312;1520935249.sql;1521210312.sql;31;31;249;253;0;0;4;0;0;0;0;0
10;1521454216;1521210312.sql;1521454216.sql;31;33;253;255;2;0;0;4;0;0;6;0
11;1521477891;1521454216.sql;1521477891.sql;33;33;255;257;0;0;4;2;0;0;0;0
12;1521639208;1521477891.sql;1521639208.sql;33;33;257;259;0;0;2;0;0;0;0;0
13;1521645099;1521639208.sql;1521645099.sql;33;33;259;257;0;0;0;2;0;0;0;0
14;1522140164;1521645099.sql;1522140164.sql;33;34;257;268;1;0;0;0;0;0;11;0
15;1522159560;1522140164.sql;1522159560.sql;34;34;268;269;0;0;3;2;0;0;0;0
16;1522164813;1522159560.sql;1522164813.sql;34;34;269;269;0;0;0;0;7;0;0;0
17;1522769456;1522164813.sql;1522769456.sql;34;34;269;269;0;0;3;3;0;0;0;0
18;1522936376;1522769456.sql;1522936376.sql;34;34;269;269;0;0;0;0;1;0;0;0
19;1523010624;1522936376.sql;1523010624.sql;34;34;269;270;0;0;1;0;0;0;0;0
20;1525097295;1523010624.sql;1525097295.sql;34;35;270;277;1;0;0;0;0;0;7;0
21;1525355298;1525097295.sql;1525355298.sql;35;35;277;277;0;0;2;2;0;0;0;0
