table;dur;birth;death;chngs;s@s;s@e;sAvg
fcs_action_logs;67;0;-;0;7;7;7.0
fcs_address;67;0;-;0;15;15;15.0
fcs_attribute;67;0;-;1;5;6;5.5820894
fcs_blog_posts;67;0;-;0;11;11;11.0
fcs_cart_products;67;0;-;4;7;7;7.0
fcs_carts;67;0;-;5;5;6;5.0149255
fcs_category;67;0;-;5;10;9;9.5074625
fcs_category_product;67;0;-;0;2;2;2.0
fcs_configuration;67;0;-;1;9;10;9.5074625
fcs_cronjob_logs;9;58;-;2;4;4;4.0
fcs_cronjobs;9;58;-;2;7;7;7.0
fcs_customer;67;0;-;8;13;14;13.582089
fcs_deposits;67;0;-;0;4;4;4.0
fcs_email_logs;67;0;-;1;8;8;8.0
fcs_images;67;0;-;0;2;2;2.0
fcs_invoices;67;0;-;0;5;5;5.0
fcs_manufacturer;67;0;-;19;32;37;35.358208
fcs_order_detail;67;0;-;26;13;15;12.895522
fcs_order_detail_tax;67;0;-;0;3;3;3.0
fcs_order_detail_units;41;26;-;3;5;6;5.97561
fcs_orders;43;0;42;4;13;13;13.046512
fcs_pages;67;0;-;0;15;15;15.0
fcs_payments;67;0;-;0;13;13;13.0
fcs_pickup_days;27;40;-;0;5;5;5.0
fcs_product;67;0;-;33;9;19;11.925373
fcs_product_attribute;67;0;-;0;5;5;5.0
fcs_product_attribute_combination;67;0;-;0;2;2;2.0
fcs_product_attribute_shop;37;0;36;0;5;5;5.0
fcs_product_lang;37;0;36;2;8;6;6.1621623
fcs_product_shop;37;0;36;4;5;5;5.0
fcs_sliders;67;0;-;0;4;4;4.0
fcs_stock_available;67;0;-;4;4;6;4.6865673
fcs_sync_domains;67;0;-;0;3;3;3.0
fcs_sync_products;67;0;-;0;6;6;6.0
fcs_tax;67;0;-;0;4;4;4.0
fcs_timebased_currency_order_detail;57;10;-;10;3;6;5.9122806
fcs_timebased_currency_orders;33;10;42;8;3;4;3.969697
fcs_timebased_currency_payments;53;14;-;9;11;13;12.886792
fcs_units;47;20;-;7;7;8;7.8510637
i18n;1;31;31;0;6;6;6.0
phinxlog;29;38;-;0;5;5;5.0
