;0;1;2;3;4;5;6;7;8;
aggregate_loss;6;6;6;0;0;0;0;0;0;
aggregate_loss_curve_data;6;6;6;0;0;0;0;0;0;
assoc_lt_rlz_trt_model;4;4;4;0;0;0;0;0;0;
bcr_distribution;4;4;4;0;0;0;0;0;0;
bcr_distribution_data;6;6;6;0;0;0;0;0;0;
cost;7;7;7;0;0;0;0;0;0;
cost_type;7;7;7;0;0;0;0;0;0;
disagg_result;16;16;16;0;0;0;0;0;0;
dmg_dist_per_asset;6;6;6;0;0;0;0;0;0;
dmg_dist_per_taxonomy;6;6;6;0;0;0;0;0;0;
dmg_dist_total;5;5;5;0;0;0;0;0;0;
dmg_state;5;5;5;0;0;0;0;0;0;
event_loss;4;4;4;0;0;0;0;0;0;
event_loss_data;4;4;4;0;0;0;0;0;0;
exposure_data;7;7;7;0;0;0;0;0;0;
exposure_model;10;10;10;0;0;0;0;0;0;
gmf;3;3;3;0;0;0;0;0;0;
gmf_data;9;9;9;0;0;0;0;0;0;
gmf_rupture;5;5;5;0;0;0;0;0;0;
hazard_calculation;39;39;39;0;0;0;0;0;0;
hazard_curve;10;10;10;0;0;0;0;0;0;
hazard_curve_data;4;4;4;0;0;0;0;0;0;
hazard_map;13;13;13;0;0;0;0;0;0;
hazard_site;3;3;3;0;0;0;0;0;0;
imt;5;5;5;0;0;0;0;0;0;
job;0;0;0;11;11;11;11;11;11;
job_stats;5;5;5;0;0;0;0;0;0;
log;0;0;0;6;6;6;6;6;6;
loss_curve;8;8;8;0;0;0;0;0;0;
loss_curve_data;8;8;8;0;0;0;0;0;0;
loss_fraction;8;8;8;0;0;0;0;0;0;
loss_fraction_data;4;4;4;0;0;0;0;0;0;
loss_map;8;8;8;0;0;0;0;0;0;
loss_map_data;5;5;5;0;0;0;0;0;0;
lt_realization;5;5;5;0;0;0;0;0;0;
lt_source_model;6;6;6;0;0;0;0;0;0;
occupancy;4;4;4;0;0;0;0;0;0;
oq_job;15;15;15;0;0;0;0;0;0;
output;5;5;5;5;5;5;5;5;5;
performance;9;9;9;6;6;6;6;6;6;
probabilistic_rupture;10;10;10;0;0;0;0;0;0;
risk_calculation;26;26;26;0;0;0;0;0;0;
ses_collection;4;4;4;0;0;0;0;0;0;
ses_rupture;5;5;5;0;0;0;0;0;0;
site_model;6;6;6;0;0;0;0;0;0;
source_info;8;8;8;0;0;0;0;0;0;
trt_model;8;8;8;0;0;0;0;0;0;
uhs;8;8;8;0;0;0;0;0;0;
uhs_data;3;3;3;0;0;0;0;0;0;
