trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1505905020		1505905020.sql	2017-09-20 10:57:00	0	0	0		8		79	8	0	79	0	0	0	0	0			79	0	0	79	0	79	
1	1506601943	1505905020.sql	1506601943.sql	2017-09-28 12:32:23	8	1	1	8	8	79	82	0	0	0	0	3	0	0	0	0	3	3	0	0	3	0	3	
2	1523288545	1506601943.sql	1523288545.sql	2018-04-09 15:42:25	201	1	7	8	8	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1535057062	1523288545.sql	1535057062.sql	2018-08-23 20:44:22	337	1	12	8	8	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1537050388	1535057062.sql	1537050388.sql	2018-09-15 22:26:28	360	1	12	8	8	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1547243923	1537050388.sql	1547243923.sql	2019-01-11 21:58:43	478	2	16	8	8	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1552639170	1547243923.sql	1552639170.sql	2019-03-15 08:39:30	540	2	18	8	8	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1552778495	1552639170.sql	1552778495.sql	2019-03-16 23:21:35	542	2	18	8	8	82	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	1554622418	1552778495.sql	1554622418.sql	2019-04-07 07:33:38	563	2	19	8	9	82	89	1	0	7	0	0	0	0	0	1	7	7	0	0	7	0	7	
9	1554731369	1554622418.sql	1554731369.sql	2019-04-08 13:49:29	565	2	19	9	9	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1556014519	1554731369.sql	1556014519.sql	2019-04-23 10:15:19	579	2	20	9	9	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	1556059525	1556014519.sql	1556059525.sql	2019-04-23 22:45:25	580	2	20	9	9	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	1556484303	1556059525.sql	1556484303.sql	2019-04-28 20:45:03	585	2	20	9	9	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
