trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1429637771;1421191664.sql;1429637771.sql;3;9;18;63;6;0;2;0;1;0;43;0
2;1444148212;1429637771.sql;1444148212.sql;9;9;63;63;0;0;1;1;0;0;0;0
3;1444691069;1444148212.sql;1444691069.sql;9;9;63;63;0;0;0;0;0;0;0;0
4;1444752202;1444691069.sql;1444752202.sql;9;11;63;73;2;0;0;0;0;0;10;0
5;1444833247;1444752202.sql;1444833247.sql;11;11;73;74;0;0;1;0;0;0;0;0
6;1451163094;1444833247.sql;1451163094.sql;11;8;74;64;8;11;0;0;0;0;64;74
7;1451237486;1451163094.sql;1451237486.sql;8;8;64;64;0;0;0;0;0;0;0;0
8;1481676951;1451237486.sql;1481676951.sql;8;8;64;66;0;0;2;0;0;0;0;0
9;1482933319;1481676951.sql;1482933319.sql;8;8;66;66;0;0;0;0;0;0;0;0
10;1483192429;1482933319.sql;1483192429.sql;8;8;66;66;0;0;0;0;0;0;0;0
11;1532264560;1483192429.sql;1532264560.sql;8;8;66;66;0;0;0;0;0;0;0;0
