table;dur;birth;death;chngs;s@s;s@e;sAvg
cashbook;6;6;-;0;12;12;12.0
category;6;6;-;0;6;6;6.0
profile;6;6;-;2;7;9;8.333333
role;6;6;-;0;5;5;5.0
tb_account;2;4;5;0;4;4;4.0
tb_cashbook;6;0;5;2;11;13;12.0
tb_category;6;0;5;2;3;4;3.8333333
tb_currency;2;4;5;0;6;6;6.0
tb_migration;5;1;5;0;2;2;2.0
tb_profile;5;1;5;0;6;6;6.0
tb_role;5;1;5;0;5;5;5.0
tb_type;6;0;5;0;4;4;4.0
tb_user;5;1;5;0;16;16;16.0
tb_user_auth;5;1;5;0;7;7;7.0
tb_user_key;5;1;5;2;7;7;7.0
type;6;6;-;0;4;4;4.0
user;6;6;-;0;16;16;16.0
user_auth;6;6;-;0;7;7;7.0
user_key;6;6;-;0;7;7;7.0
