;0;1;2;3;4;5;6;7;8;9;
binomial_model;7[0|0|0|0];7[0|0|0|0];7[0|0|0|1];7[0|0|0|0];7[0|0|0|0];6[0|1|0|1];6[0|0|0|0];7[1|0|0|1];6[0|1|0|1];6[0|0|0|0];
cluster;7[0|0|0|0];7[0|0|0|0];7[0|0|0|1];7[0|0|1|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
cluster_type;2[0|0|0|0];2[0|0|0|0];2[0|0|0|1];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
cluster_yarn;6[0|0|0|0];6[0|0|0|0];6[0|0|0|1];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
dataset;9[0|0|0|0];9[0|0|0|0];9[0|0|0|1];9[0|0|1|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
datasource;7[0|0|0|0];7[0|0|0|0];7[0|0|0|1];7[0|0|1|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
engine;4[0|0|0|0];4[0|0|0|0];4[0|0|0|1];4[0|0|1|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
entity_type;2[0|0|0|0];2[0|0|0|0];2[0|0|0|1];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
history;7[0|0|0|0];7[0|0|0|0];7[0|0|0|1];7[0|0|1|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
identity;7[0|0|0|0];7[0|0|0|0];7[0|0|0|1];7[0|0|2|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
identity_role;2[0|0|0|0];2[0|0|0|0];2[0|0|0|2];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
identity_workgroup;2[0|0|0|0];2[0|0|0|0];2[0|0|0|2];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
label;6[0|0|0|0];6[0|0|0|0];6[0|0|0|1];6[0|0|1|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
meta;2[0|0|0|0];2[0|0|0|0];2[0|0|0|1];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
model;17[0|0|0|0];17[0|0|0|0];17[0|0|0|1];17[0|0|1|0];17[0|0|0|0];20[3|0|0|0];19[1|2|0|0];17[0|2|0|0];19[2|0|0|0];19[0|0|0|0];
multinomial_model;5[0|0|0|0];5[0|0|0|0];5[0|0|0|1];5[0|0|0|0];5[0|0|0|0];4[0|1|0|1];4[0|0|0|0];5[1|0|0|1];4[0|1|0|1];4[0|0|0|0];
permission;3[0|0|0|0];3[0|0|0|0];3[0|0|0|1];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
privilege;4[0|0|0|0];4[0|0|0|0];4[0|0|1|3];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
project;5[0|0|0|0];5[0|0|0|0];5[0|0|0|1];5[0|0|1|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
regression_model;5[0|0|0|0];5[0|0|0|0];5[0|0|0|1];5[0|0|0|0];5[0|0|0|0];4[0|1|0|1];4[0|0|0|0];5[1|0|0|1];4[0|1|0|1];4[0|0|0|0];
role;4[0|0|0|0];4[0|0|0|0];4[0|0|0|1];4[0|0|1|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
role_permission;2[0|0|0|0];2[0|0|0|0];2[0|0|0|2];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
service;8[0|0|0|0];9[1|0|0|0];9[0|0|0|1];9[0|0|1|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
workgroup;5[0|0|0|0];5[0|0|0|0];5[0|0|0|1];5[0|0|1|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
