trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1470687211		1470687211.sql	2016-08-08 20:13:31	0	0	0	0	24	0	128	24	0	128	0	0	0	0	0	0	0	128	0	0	128	0	128	1	0	1
1	1470794540	1470687211.sql	1470794540.sql	2016-08-10 02:02:20	1	1	1	24	24	128	129	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
2	1473153471	1470794540.sql	1473153471.sql	2016-09-06 09:17:51	28	1	1	24	24	129	129	0	0	0	0	0	0	1	29	0	0	0	0	30	0	30	30	1	0	1
3	1473212849	1473153471.sql	1473212849.sql	2016-09-07 01:47:29	29	1	1	24	24	129	129	0	0	0	0	0	0	13	0	0	0	0	0	13	0	13	13	0	1	1
4	1475015600	1473212849.sql	1475015600.sql	2016-09-27 22:33:20	50	1	2	24	24	129	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1475198221	1475015600.sql	1475198221.sql	2016-09-30 01:17:01	52	1	2	24	24	129	129	0	0	0	0	3	3	0	3	0	0	3	3	3	3	6	9	0	1	1
6	1475283086	1475198221.sql	1475283086.sql	2016-10-01 00:51:26	53	1	2	24	24	129	128	0	0	0	0	1	2	0	0	0	-1	1	2	0	1	2	3	0	1	1
7	1475549179	1475283086.sql	1475549179.sql	2016-10-04 02:46:19	56	1	2	24	24	128	129	0	0	0	0	3	2	0	3	0	1	3	2	3	3	5	8	0	1	1
8	1475705931	1475549179.sql	1475705931.sql	2016-10-05 22:18:51	58	1	2	24	24	129	128	0	0	0	0	2	3	0	3	0	-1	2	3	3	2	6	8	0	1	1
9	1476102039	1475705931.sql	1476102039.sql	2016-10-10 12:20:39	62	1	3	24	24	128	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
