Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
binomial_model	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	7	6	6.6	0.86	4	4	0.4	0.4	1	20	1	21
cluster	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	7	7	7	1	2	2	0.2	0.2	1	20	1	21
cluster_type	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	2	2	2	1	1	1	0.1	0.1	1	20	1	21
cluster_yarn	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	6	6	6	1	1	1	0.1	0.1	1	20	1	21
dataset	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	9	9	9	1	2	2	0.2	0.2	1	20	1	21
datasource	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	7	7	7	1	2	2	0.2	0.2	1	20	1	21
engine	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	4	4	4	1	2	2	0.2	0.2	1	20	1	21
entity_type	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	2	2	2	1	1	1	0.1	0.1	1	20	1	21
history	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	7	7	7	1	2	2	0.2	0.2	1	20	1	21
identity	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	7	7	7	1	3	2	0.3	0.2	1.5	20	1	21
identity_role	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	2	2	2	1	1	1	0.1	0.1	1	20	1	21
identity_workgroup	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	2	2	2	1	1	1	0.1	0.1	1	20	1	21
label	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	6	6	6	1	2	2	0.2	0.2	1	20	1	21
meta	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	2	2	2	1	1	1	0.1	0.1	1	20	1	21
model	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	17	19	17.9	1.12	12	6	1.2	0.6	2	20	2	22
multinomial_model	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	5	4	4.6	0.8	4	4	0.4	0.4	1	20	1	21
permission	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	3	3	3	1	1	1	0.1	0.1	1	20	1	21
privilege	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	4	4	4	1	2	1	0.2	0.1	2	20	1	21
project	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	5	5	5	1	2	2	0.2	0.2	1	20	1	21
regression_model	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	5	4	4.6	0.8	4	4	0.4	0.4	1	20	1	21
role	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	4	4	4	1	2	2	0.2	0.2	1	20	1	21
role_permission	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	2	2	2	1	1	1	0.1	0.1	1	20	1	21
service	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	8	9	8.9	1.12	3	3	0.3	0.3	1	20	1	21
workgroup	10	0	-	9	2016-08-08 20:13:31	2016-10-10 12:20:39	0	1	62	5	5	5	1	2	2	0.2	0.2	1	20	1	21
