trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1470687211.sql;1470794540.sql;service;Insertion:UpdateTable;name;TEXT;false;0;-
2;1470794540.sql;1473153471.sql;binomial_model;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;cluster;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;cluster_type;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;cluster_yarn;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;dataset;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;datasource;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;engine;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;entity_type;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;history;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;identity;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;identity_role;Update:KeyChange;identity_id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;identity_role;Update:KeyChange;role_id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;identity_workgroup;Update:KeyChange;identity_id;INTEGER;true;0;id@identity
2;1470794540.sql;1473153471.sql;identity_workgroup;Update:KeyChange;workgroup_id;INTEGER;true;0;id@workgroup
2;1470794540.sql;1473153471.sql;label;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;meta;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;model;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;multinomial_model;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;permission;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;privilege;Update:KeyChange;entity_id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;privilege;Update:KeyChange;entity_type_id;INTEGER;true;0;id@entity_type
2;1470794540.sql;1473153471.sql;privilege;Update:KeyChange;privilege_type;TEXT;true;0;-
2;1470794540.sql;1473153471.sql;privilege;Update:KeyChange;workgroup_id;INTEGER;true;0;id@workgroup
2;1470794540.sql;1473153471.sql;project;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;regression_model;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;role;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;role_permission;Update:KeyChange;permission_id;INTEGER;true;0;id@permission
2;1470794540.sql;1473153471.sql;role_permission;Update:KeyChange;role_id;INTEGER;true;0;id@role
2;1470794540.sql;1473153471.sql;service;Update:KeyChange;id;INTEGER;true;0;-
2;1470794540.sql;1473153471.sql;workgroup;Update:KeyChange;id;INTEGER;true;0;-
3;1473153471.sql;1473212849.sql;cluster;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;dataset;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;datasource;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;engine;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;history;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;identity;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;identity;Update:TypeChange;last_login;INTEGERWITHTIMEZONE;false;0;-
3;1473153471.sql;1473212849.sql;label;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;model;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;project;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;role;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;service;Update:TypeChange;created;DATETIME;false;0;-
3;1473153471.sql;1473212849.sql;workgroup;Update:TypeChange;created;DATETIME;false;0;-
4;1473212849.sql;1475015600.sql;-;-;-;-;-;-;-
5;1475015600.sql;1475198221.sql;binomial_model;Deletion:UpdateTable;id;INTEGER;true;0;-
5;1475015600.sql;1475198221.sql;binomial_model;Update:KeyChange;model_id;INTEGER;true;0;id@model
5;1475015600.sql;1475198221.sql;model;Insertion:UpdateTable;cluster_id;INTEGER;false;0;id@cluster
5;1475015600.sql;1475198221.sql;model;Insertion:UpdateTable;has_mojo;BOOLEAN;false;0;-
5;1475015600.sql;1475198221.sql;model;Insertion:UpdateTable;has_pojo;BOOLEAN;false;0;-
5;1475015600.sql;1475198221.sql;multinomial_model;Deletion:UpdateTable;id;INTEGER;true;0;-
5;1475015600.sql;1475198221.sql;multinomial_model;Update:KeyChange;model_id;INTEGER;true;0;id@model
5;1475015600.sql;1475198221.sql;regression_model;Deletion:UpdateTable;id;INTEGER;true;0;-
5;1475015600.sql;1475198221.sql;regression_model;Update:KeyChange;model_id;INTEGER;true;0;id@model
6;1475198221.sql;1475283086.sql;model;Deletion:UpdateTable;has_mojo;BOOLEAN;false;0;-
6;1475198221.sql;1475283086.sql;model;Deletion:UpdateTable;has_pojo;BOOLEAN;false;0;-
6;1475198221.sql;1475283086.sql;model;Insertion:UpdateTable;model_object_type;TEXT;false;0;-
7;1475283086.sql;1475549179.sql;binomial_model;Insertion:UpdateTable;id;INTEGER;true;0;-
7;1475283086.sql;1475549179.sql;binomial_model;Update:KeyChange;model_id;INTEGER;false;0;id@model
7;1475283086.sql;1475549179.sql;model;Deletion:UpdateTable;cluster_id;INTEGER;false;0;id@cluster
7;1475283086.sql;1475549179.sql;model;Deletion:UpdateTable;model_object_type;TEXT;false;0;-
7;1475283086.sql;1475549179.sql;multinomial_model;Insertion:UpdateTable;id;INTEGER;true;0;-
7;1475283086.sql;1475549179.sql;multinomial_model;Update:KeyChange;model_id;INTEGER;false;0;id@model
7;1475283086.sql;1475549179.sql;regression_model;Insertion:UpdateTable;id;INTEGER;true;0;-
7;1475283086.sql;1475549179.sql;regression_model;Update:KeyChange;model_id;INTEGER;false;0;id@model
8;1475549179.sql;1475705931.sql;binomial_model;Deletion:UpdateTable;id;INTEGER;true;0;-
8;1475549179.sql;1475705931.sql;binomial_model;Update:KeyChange;model_id;INTEGER;true;0;id@model
8;1475549179.sql;1475705931.sql;model;Insertion:UpdateTable;cluster_id;INTEGER;false;0;id@cluster
8;1475549179.sql;1475705931.sql;model;Insertion:UpdateTable;model_object_type;TEXT;false;0;-
8;1475549179.sql;1475705931.sql;multinomial_model;Deletion:UpdateTable;id;INTEGER;true;0;-
8;1475549179.sql;1475705931.sql;multinomial_model;Update:KeyChange;model_id;INTEGER;true;0;id@model
8;1475549179.sql;1475705931.sql;regression_model;Deletion:UpdateTable;id;INTEGER;true;0;-
8;1475549179.sql;1475705931.sql;regression_model;Update:KeyChange;model_id;INTEGER;true;0;id@model
9;1475705931.sql;1476102039.sql;-;-;-;-;-;-;-
