table;dur;birth;death;chngs;s@s;s@e;sAvg
$[prefix]categories;14;1;-;4;12;12;12.0
$[prefix]categories_posts;14;1;-;2;2;2;2.0
$[prefix]comments;14;1;-;8;16;17;16.357143
$[prefix]links;14;1;-;7;15;15;15.0
$[prefix]media;7;8;-;1;14;14;14.0
$[prefix]menus;14;1;-;2;9;9;9.0
$[prefix]options;14;1;-;2;4;4;4.0
$[prefix]post_meta;8;7;-;1;5;5;5.0
$[prefix]post_metas;6;1;6;0;5;5;5.0
$[prefix]posts;14;1;-;10;16;18;16.785715
$[prefix]posts_tags;14;1;-;2;2;2;2.0
$[prefix]tags;14;1;-;4;8;8;8.0
$[prefix]user_meta;8;7;-;1;5;5;5.0
$[prefix]user_metas;6;1;6;0;5;5;5.0
$[prefix]users;14;1;-;0;10;10;10.0
hr_categories;1;0;0;0;12;12;12.0
hr_categories_posts;1;0;0;0;2;2;2.0
hr_comments;1;0;0;0;16;16;16.0
hr_links;1;0;0;0;15;15;15.0
hr_menus;1;0;0;0;9;9;9.0
hr_options;1;0;0;0;4;4;4.0
hr_post_metas;1;0;0;0;5;5;5.0
hr_posts;1;0;0;0;16;16;16.0
hr_posts_tags;1;0;0;0;2;2;2.0
hr_tags;1;0;0;0;8;8;8.0
hr_user_metas;1;0;0;0;5;5;5.0
hr_users;1;0;0;0;11;11;11.0
media;3;5;7;0;14;14;14.0
