mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2013-05	1	12	105	12	0	105	0	0	0	0	0	0	0	105	0	0	105	0	105
1	2013-06	1	12	104	12	12	104	105	0	0	0	0	0	-1	104	105	0	104	105	209
2	2013-07	0	12	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2013-08	0	12	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2013-09	2	12	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2013-10	1	12	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2013-11	1	13	118	1	0	14	0	0	0	0	0	1	14	14	0	0	14	0	14
7	2013-12	2	13	118	2	2	10	10	1	1	0	0	0	0	11	11	0	11	11	22
8	2014-01	3	13	121	1	1	14	14	3	0	19	0	0	3	17	14	19	17	33	50
9	2014-02	4	13	121	0	0	0	0	0	0	20	0	0	0	0	0	20	0	20	20
